Test number,Aggregated Bandwidth (MHz),,,Minimum performance requirement (Note 2),UE Category
,Total,PCell,LAA SCell,,
1,7x20,20,6x20,As defined in Table 8.2.4.1.1-4 and Table 8.2.4.1.1-5,≥5
2,15+6x20,15,6x20,As defined in Table 8.2.4.1.1-4 and Table 8.2.4.1.1-5,≥5
3,10+6x20,10,6x20,As defined in Table 8.2.4.1.1-4 and Table 8.2.4.1.1-5,≥5
Note 1:The applicability of requirements for different CA configurations and bandwidth combination sets is defined in 8.1.2.3D.Note 2:Apply a per-CC requirement defined in Table 8.2.4.1.1-4 for PCell and apply a per-CC requirement defined in Table 8.2.4.1.1-5 for LAA SCell.,,,,,
