Parameter,,Unit,Value
Downlink power allocation,,dB,-6
,,dB,-6 (Note 1)
,,dB,3
at antenna port,,dBm/15kHz,-98
Precoding granularity,,PRB,8
PMI delay (Note 2),,ms,10 or 11
Reporting interval,,ms,1 or 4 (Note 3)
Reporting mode,,,PUSCH 1-2
ACK/NACK feedback mode,,,"PUCCH format 1b with channel selection for Tests in Table 8.2.2.4.3-4; PUCCH format 3 for Tests in Table 8.2.2.4.3-7, Table 8.2.2.4.3-8 and Table 8.2.2.4.3-9."
CodeBookSubsetRestriction bitmap,,,0000000000000000000000000000000011111111111111110000000000000000
CSI request field (Note 4),,,‘10’
PDSCH transmission mode,,,4
"Note 1:.Note 2:If the UE reports in an available uplink reporting instance at subrame SF#n based on PMI estimation at a downlink SF not later than SF#(n-4), this reported PMI cannot be applied at the eNB downlink before SF#(n+4)Note 3:For Uplink - downlink configuration 1 the reporting interval will alternate between 1ms and 4ms.Note 4:Multiple CC-s under test are configured as the 1st set of serving cells by high layers.Note 5:The same PDSCH transmission mode is applied to each component carrier.",,,
