Parameter,,Unit,Test 1,,Test 2,
Bandwidth,,MHz,10 MHz,,,
Transmission mode,,,1 (port 0),,,
Downlink power allocation,,dB,0,,,
,,dB,0,,,
,,dB,0,,,
Uplink downlink configuration,,,2,,,
Special subframe configuration,,,4,,,
SNR (Note 3),,dB,6,7,12,13
,,dB[mW/15kHz],-92,-91,-86,-85
,,dB[mW/15kHz],-98,,-98,
Propagation channel,,,EPA5,,,
Correlation and antenna configuration,,,High (1 x 2),,,
Reporting mode,,,PUCCH 1-0,,,
Reporting periodicity,,ms,Npd = 5,,,
CQI delay,,ms,10 or 11,,,
Physical channel for CQI reporting,,,PUSCH (Note 4),,,
PUCCH Report Type,,,4,,,
cqi-pmi-ConfigurationIndex,,,3,,,
Max number of HARQ transmissions,,,1,,,
ACK/NACK feedback mode,,,Multiplexing,,,
"Note 1:If the UE reports in an available uplink reporting instance at subframe SF#n based on CQI estimation at a downlink SF not later than SF#(n-4), this reported wideband CQI cannot be applied at the eNB downlink before SF#(n+4).Note 2:Reference measurement channel RC.1 TDD according to Table A.4-1 for Category 2-8 with one sided dynamic OCNG Pattern OP.1 TDD as described in Annex A.5.2.1 and RC.4 TDD according to Table A.4-1 for Category 1 with one/two sided dynamic OCNG Pattern OP.1/2 TDD as described in Annex A.5.2.1/2.Note 3:For each test, the minimum requirements shall be fulfilled for at least one of the two SNR(s) and the respective wanted signal input level.Note 4:To avoid collisions between CQI reports and HARQ-ACK it is necessary to report both on PUSCH instead of PUCCH. PDCCH DCI format 0 shall be transmitted in downlink SF#3 and #8 to allow periodic CQI to multiplex with the HARQ-ACK on PUSCH in uplink subframe SF#7 and #2.",,,,,,
