Parameter,,Unit,Test 1
Bandwidth,,MHz,10
Transmission mode,,,6
Propagation channel,,,EVA5
Correlation and antenna configuration,,,Low 4 x 2
Downlink power allocation,,dB,-6
,,dB,-6
,,dB,3
,,dB[mW/15kHz],-98
PMI delay,,ms,8 or 9
Reporting mode,,,PUCCH 2-1 (Note 6)
Reporting periodicity,,ms,Npd = 2
Physical channel for CQI reporting,,,PUSCH (Note 3)
PUCCH Report Type for wideband CQI/PMI,,,2
PUCCH Report Type for subband CQI,,,1
Measurement channel,,,R.14-1 FDD
OCNG Pattern,,,OP.1/2 FDD
Precoding granularity,,PRB,6 (full size)
Number of bandwidth parts (J),,,3
K,,,1
cqi-pmi-ConfigIndex,,,1
Max number of HARQ transmissions,,,4
Redundancy version coding sequence,,,"{0,1,2,3}"
"Note 1:For random precoder selection, the precoder shall be updated every two TTI (2 ms granularity).Note 2:If the UE reports in an available uplink reporting instance at subrame SF#n based on PMI estimation at a downlink SF not later than SF#(n-4), this reported PMI cannot be applied at the eNB downlink before SF#(n+4).Note 3:To avoid collisions between HARQ-ACK and wideband CQI/PMI or subband CQI, it is necessary to report both on PUSCH instead of PUCCH. PDCCH DCI format 0 shall be transmitted in downlink SF#1, #3, #7 and #9 to allow periodic CQI to multiplex with the HARQ-ACK on PUSCH in uplink subframe SF#5, #7, #1 and #3.Note 4:Reports for the short subband (having 2RBs in the last bandwidth part) are to be disregarded and instead data is to be transmitted on the most recently used subband for bandwidth part with j=1.Note 5:In the case where wideband PMI is reported, data is to be transmitted on the most recently used subband.Note 6:The bit field for PMI confirmation in DCI format 1B shall be mapped to “0” and TPMI information shall indicate the codebook index used in Table 6.3.4.2.3-2 of TS36.211 [4] according to the latest PMI report on PUCCH.",,,
