Parameter,,Unit,Test 1,,Test 2,
Bandwidth,,MHz,10,,,
PDSCH transmission mode,,,9,,,
Uplink downlink configuration,,,2,,,
Special subframe configuration,,,4,,,
Downlink power allocation,,dB,0,,,
,,dB,0,,,
,,dB,-6,,,
,,dB,-3,,,
CRS reference signals,,,"Antenna ports 0, 1",,,
CSI reference signals,,,"Antenna ports 15,…,22",,,
CSI-RS periodicity and subframe offsetTCSI-RS / ∆CSI-RS,,,5/ 3,,,
CSI reference signal configuration,,,0,,,
Propagation condition and antenna configuration,,,Clause B.1 (8 x 4),,,
Beamforming Model,,,As specified in Section B.4.3,,,
CodeBookSubsetRestriction bitmap,,,0x0000 0000 0020 0000 0000 0001 0000,,,
SNR (Note 2),,dB,2,3,8,9
,,dB[mW/15kHz],-96,-95,-90,-89
,,dB[mW/15kHz],-98,,-98,
Max number of HARQ transmissions,,,1,,,
Physical channel for CQI/PMI reporting,,,PUSCH (Note 3),,,
PUCCH Report Type for CQI/second PMI,,,2b,,,
Physical channel for RI reporting,,,PUSCH,,,
PUCCH Report Type for RI/ first PMI,,,5,,,
Reporting periodicity,,ms,Npd = 5,,,
CQI delay,,ms,10 or 11,,,
cqi-pmi-ConfigurationIndex,,,3,,,
ri-ConfigIndex,,,805 (Note 4),,,
ACK/NACK feedback mode,,,Multiplexing,,,
"Note 1:Reference measurement channel RC.7 TDD according to Table A.4-1 with one sided dynamic OCNG Pattern OP.1 TDD as described in Annex A.5.2.1.Note 2:For each test, the minimum requirements shall be fulfilled for at least one of the two SNR(s) and the respective wanted signal input level.Note 3:To avoid collisions between CQI/PMI reports and HARQ-ACK it is necessary to report both on PUSCH instead of PUCCH. PDCCH DCI format 0 shall be transmitted in downlink SF#3 and #8 to allow periodic CQI/PMI to multiplex with the HARQ-ACK on PUSCH in uplink SF#7 and #2.Note 4:RI reporting interval is set to the maximum allowable length of 160ms to minimise collisions between RI, CQI/PMI and HARQ-ACK reports. In the case when all three reports collide, it is expected that CQI/PMI reports will be dropped, while RI and HARQ-ACK will be multiplexed. At eNB, CQI report collection shall be skipped every 160ms during performance verification.",,,,,,
