Parameter,,Unit,Test 1,,Test 2,
Bandwidth,,MHz,20,,,
PDSCH transmission mode,,,1,,,
Uplink downlink configuration,,,2,,,
Special subframe configuration,,,4,,,
Downlink power allocation,,dB,0,,,
,,dB,0,,,
,,dB,0,,,
Propagation condition and antenna configuration,,,AWGN (1 x 2),,,
SNR (Note 2),,dB,-1,0,20,21
,,dB[mW/15kHz],-99,-98,-78,-77
,,dB[mW/15kHz],-98,,-98,
Max number of HARQ transmissions,,,1,,,
Physical channel for CQI reporting,,,PUSCH (Note 3),,,
PUCCH Report Type,,,4,,,
Reporting periodicity,,ms,Npd = 5,,,
cqi-pmi-ConfigurationIndex,,,3,,,
ACK/NACK feedback mode,,,Multiplexing,,,
"Note 1:Reference measurement channel RC.1A TDD according to Table A.4-1 with one sided dynamic OCNG Pattern OP.1 TDD as described in Annex A.5.2.1.Note 2:For each test, the minimum requirements shall be fulfilled for at least one of the two SNR(s) and the respective wanted signal input level.Note 3:To avoid collisions between CQI reports and HARQ-ACK it is necessary to report both on PUSCH instead of PUCCH. PDCCH DCI format 0 shall be transmitted in downlink SF#3 and #8 to allow periodic CQI to multiplex with the HARQ-ACK on PUSCH in uplink subframe SF#7 and #2.",,,,,,
