Parameter,,Unit,Value
Downlink power allocation,,dB,-3
,,dB,-3 (Note 1)
,,dB,0
at antenna port,,dBm/15kHz,-98
Uplink downlink configuration in SIB1 (Note 2),,,0
Downlink HARQ reference configuration (eimta-HarqReferenceConfig-r12) (Note 2),,,5
"Set of dynamic TDD UL-DL configurations (NOTES 2,3)",,,"{0, 1, 2, 3, 4, 5, 6}"
Periodicity of monitoring the L1 reconfiguration DCI (eimta-CommandPeriodicity-r12),,ms,10
Set of subframes to monitor the L1 reconfiguration DCI (eimta-CommandSubframeSet-r12) (Note 4),,,"{0,1,5,6}"
Number of DL HARQ processes,,Processes,15
PDSCH transmission mode,,,2
ACK/NACK feedback mode (Note 5),,,Multiplexing
"Note 1:Note 2:As specified in Table 4.2-2 in TS 36.211.Note 3: UL/DL configuration in PDCCH with eIMTA-RNTI is randomly selected from the given set on a per-DCI basis with equal probability.Note 4:The set of subframes to monitor PDCCH with eIMTA-RNTI for frame n includes subframes {1,5,6} in frame n-1 and subframe 0 in frame n. Subframes for reconfiguration DCI transmission are chosen in a random way on a per-DCI basis with equal probability.Note 5:PUCCH Format 3 is used for DL HARQ feedback.",,,
