Test,Number of bits of a DL-SCH transport block received within a TTI,Measurement channel,Reference value
,,,TB success rate [%]
1,10296,R.31-1 FDD,95
1A,10296,R.31-1 FDD,95
1B,10296,R.31-1A FDD,95
2,25456,R.31-2 FDD,95
3,51024,R.31-3 FDD,95
3A,36696 (Note 2),R.31-3A FDD,85
3B,25456,R.31-2 FDD,95
3C,51024,R.31-3C FDD,85
4,75376 (Note 3),R.31-4 FDD,85
4A,36696 (Note 2),R.31-3A FDD,85
4B,55056 (Note 5),R.31-4B FDD,85
6,75376 (Note 3),R.31-4 FDD,85
6A,75376 (Note 3),R.31-4 FDD,85
6B,36696 (Note 2) for 10MHz CC55056 for 15MHz CC,R.31-3A FDD for 10MHz CCR.31-5 FDD for 15MHz CC,85
6C,36696 (Note 2) for 10MHz CC75376 (Note 3) for 20MHz CC,R.31-3A FDD for 10MHz CCR.31-4 FDD for 20MHz CC,85
6D,55056 for 15MHz CC75376 (Note 3) for 20MHz CC,R.31-5 FDD for 15MHz CCR.31-4 FDD for 20MHz CC,85
6E,55056 (Note 5) for two 15MHz CCs,R.31-4B FDD for two 15MHz CCs,85
6F,55056 (Note 5) for 15MHz CC18336 (Note 6) for 5MHz CC,R.31-5 FDD for 15MHz CCR.31-6 FDD for 5MHz CC,85
6G,75376 (Note 3) for 20MHz CC18336 (Note 6) for 5MHz CC,R.31-4 FDD for 20MHz CCR.31-6 FDD for 5MHz CC,85
7,75376 (Note 3),R.31-4 FDD,85
7A,55056 (Note 5) for 15MHz CC75376 (Note 3) for 20MHz CC,R.31-5 FDD for 15MHz CCR.31-4 FDD for 20MHz CC,85
7B,36696 (Note 2) for 10MHz CC75376 (Note 3) for 20MHz CC,R.31-3A FDD for 10MHz CCR.31-4 FDD for 20MHz CC,85
7C,55056 (Note 5) for 15MHz CC75376 (Note 3) for 20MHz CC,R.31-5 FDD for 15MHz CCR.31-4 FDD for 20MHz CC,85
7D,36696 (Note 2) for 10MHz CC55056 (Note 5) for 15MHz CC75376 (Note 3) for 20MHz CC,R.31-3A FDD for 10MHz CCR.31-5 FDD for 15MHz CCR.31-4 FDD for 20MHz CC,85
7E,36696 (Note 2) for 10MHz CC75376 (Note 3) for 20MHz CC,R.31-3A FDD for 10MHz CCR.31-4 FDD for 20MHz CC,85
7F,36696 (Note 2) for 10MHz CC55056 (Note 5) for 15MHz CC,R.31-3A FDD for 10MHz CCR.31-5 FDD for 15MHz CC,85
7G,18336 (Note 6) for 5MHz CC36696 (Note 2) for 10MHz CC75376 (Note 3) for 20MHz CC,R.31-6 FDD for 5MHz CCR.31-3A FDD for 10MHz CCR.31-4 FDD for 20MHz CC,85
7H,18336 (Note 6) for 5MHz CC55056 (Note 5) for 15MHz CC75376 (Note 3) for 20MHz CC,R.31-6 FDD for 5MHz CCR.31-5 FDD for 15MHz CCR.31-4 FDD for 20MHz CC,85
7I,18336 (Note 6) for 5MHz CC36696 (Note 2) for 10MHz CC,R.31-6 FDD for 5MHz CCR.31-3A FDD for 10MHz CC,85
7J,18336 (Note 6) for 5MHz CC75376 (Note 3) for 20MHz CC,R.31-6 FDD for 5MHz CCR.31-4 FDD for 20MHz CC,85
7K,36696 (Note 2) for 10MHz CC,R.31-3A FDD for 10MHz CC,85
7L,18336 (Note 6) for 5MHz CC36696 (Note 2) for 10MHz CC,R.31-6 FDD for 5MHz CCR.31-3A FDD for 10MHz CC,85
8E,55056 (Note 5) for 15MHz CC75376 (Note 3) for 20MHz CC,R.31-5 FDD for 15MHz CCR.31-4 FDD for 20MHz CC,85
8F,55056 (Note 5) for 15MHz CC75376 (Note 3) for 20MHz CC,R.31-5 FDD for 15MHz CCR.31-4 FDD for 20MHz CC,85
8G,36696 (Note 2) for 10MHz CC55056 (Note 5) for 15MHz CC75376 (Note 3) for 20MHz CC,R.31-3A FDD for 10MHz CCR.31-5 FDD for 15MHz CCR.31-4 FDD for 20MHz CC,85
8H,36696 (Note 2) for 10MHz CC75376 (Note 3) for 20MHz CC,R.31-3A FDD for 10MHz CCR.31-4 FDD for 20MHz CC,85
8I,18336 (Note 6) for 5MHz CC75376 (Note 3) for 20MHz CC,R.31-6 FDD for 5MHz CCR.31-4 FDD for 20MHz CC,85
8J,18336 (Note 6) for 5MHz CC36696 (Note 2) for 10MHz CC75376 (Note 3) for 20MHz CC,R.31-6 FDD for 5MHz CCR.31-3A FDD for 10MHz CCR.31-4 FDD for 20MHz CC,85
8K,36696 (Note 2) for 10MHz CC,R.31-3A FDD for 10MHz CC,85
8,75376 (Note 3),R.31-4 FDD,85
8A,36696 (Note 2) for 10MHz CC75376 (Note 3) for 20MHz CC,R.31-3A FDD for 10MHz CCR.31-4 FDD for 20MHz CC,85
8B,36696 (Note 2) for 10MHz CC75376 (Note 3) for 20MHz CC,R.31-3A FDD for 10MHz CCR.31-4 FDD for 20MHz CC,85
