Parameter,,Unit,Test 1
Bandwidth,,MHz,10
Transmission mode,,,9
Uplink downlink configuration,,,1
Special subframe configuration,,,4
Propagation channel,,,EPA5
Precoding granularity,,PRB,50
Correlation and antenna configuration,,,High XP 4 x 2
Beamforming model,,,Annex B.4.3
Cell-specific reference signals,,,"Antenna ports 0,1"
CSI reference signals,,,"Antenna ports15,…,18"
CSI-RS periodicity and subframe offsetTCSI-RS / ∆CSI-RS,,,5/ 4
CSI-RS reference signal configuration,,,6
CodeBookSubsetRestriction bitmap,,,0x0000 0000 0000 FFFF 0000 00FF
Downlink power allocation,,dB,0
,,dB,0
,Pc,dB,-3
,,dB,-3
,,dB[mW/15kHz],-98
Reporting mode,,,PUCCH 1-1 submode1
Reporting interval,,ms,5
PMI delay (Note 2),,ms,15
Physical channel for CQI/PMI reporting,,,PUSCH (Note 3)
PUCCH Report Type for CQI/second PMI,,,2b
Physical channel for RI reporting,,,PUSCH
PUCCH Report Type for RI/ first PMI,,,5
cqi-pmi-ConfigurationIndex,,,4
ri-ConfigIndex,,,1
Measurement channel,,,R.60 TDD
OCNG Pattern,,,OP.1 TDD
Max number of HARQ transmissions,,,4
Redundancy version coding sequence,,,"{0,1,2,3}"
ACK/NACK feedback mode,,,Multiplexing
alternativeCodeBookEnabledFor4TX-r12,,,True
"Note 1:For random precoder selection, the precoder shall be updated in each TTI (1 ms granularity)Note 2:If the UE reports in an available uplink reporting instance at subrame SF#n based on PMI estimation at a downlink SF not later than SF#(n-4), this reported PMI cannot be applied at the eNB downlink before SF#(n+4).Note 3:To avoid collisions between CQI/PMI reports and HARQ-ACK it is necessary to report both on PUSCH instead of PUCCH.Note 4:PDCCH DCI format 0 with a trigger for aperiodic CQI shall be transmitted in downlink SF#4 and #9 to allow aperiodic CQI/PMI/RI to be transmitted on uplink SF#3 and #8.Note 5:Randomization of the principle beam direction shall be used as specified in B.2.3A.4.",,,
