Parameter,,,Unit,Test 1,,,Test 2,,
,,,,TP1,TP2,,TP1,TP2,
Bandwidth,,,MHz,10,,,,,
PDSCH transmission mode,,,,10,,,,,
Uplink downlink configuration,,,,2,,,,,
Special subframe configuration,,,,4,,,,,
Downlink power allocation (Note 1),,,dB,0,0,,0,0,
,,,dB,0,0,,0,0,
,,Pc,dB,-6,-6,,-6,-6,
,,,dB,-3,N/A,,-3,N/A,
Cell ID,,,,0,,,0,,
Cell-specific reference signals,,,,"Antenna ports 0, 1",(Note 2),,"Antenna ports 0, 1",(Note 2),
e-MIMO Type,,,,Class B,,,,,
Number of CSI-RS resource (K),,,,1,,,,,
interferenceMeasRestriction,,,,Enable,,,,,
CSI reference signals,,,,"Antenna ports 15,…,22",N/A,,"Antenna ports 15,…,22",N/A,
CSI-RS periodicity and subframe offset  TCSI-RS / ∆CSI-RS,,,,5/3,N/A,,5/3,N/A,
CSI-RS configuration,,,,0,N/A,,0,N/A,
Zero-Power CSI-RS configurationICSI-RS / ZeroPowerCSI-RS bitmap,,,,3 /0010000000000000,3 / 1000010000000000,,3 /0010000000000000,3 / 1000010000000000,
CSI-IM configurationICSI-RS / ZeroPowerCSI-RS bitmap,,,,3 /0010000000000000,N/A,,3 /0010000000000000,N/A,
CSI process configurationSignal/Interference/Reporting mode,,,,CSI-RS/CSI-IM/PUCCH 1-1,,,CSI-RS/CSI-IM/PUCCH 1-1,,
Propagation condition and antenna configuration,,,,Clause B.1 (8 x 2),Clause B.1 (2 x 2),,Clause B.1 (8 x 2),Clause B.1 (2 x 2),
CodeBookSubsetRestriction bitmap,,,,0x0000 0000 0020 0000 0000 0001 0000,100000,,0x0000 0000 0020 0000 0000 0001 0000,100000,
SNR (Note 3),Sub-frame 8,,dB,17,[15],[16],17,[23],[24]
,Other sub-frames,,,17,6,7,17,14,15
,Sub-frame 8,,dB[mW/15kHz],-81,[-83],[-82],-81,[-75],[-74]
,Other sub-frames,,,-81,-92,-91,-81,-84,-83
,,,dB[mW/15kHz],-98,,,-98,,
Modulation / Information bit payload,,,,(Note4),QPSK / 4392,,(Note4),QPSK / 4392,
Max number of HARQ transmissions,,,,1,N/A,,1,N/A,
Physical channel for CQI/PMI reporting,,,,PUSCH (Note5),N/A,,PUSCH (Note5),N/A,
PUCCH Report Type for CQI/second PMI,,,,2b,N/A,,2b,N/A,
Physical channel for RI reporting,,,,PUSCH,N/A,,PUSCH,N/A,
PUCCH Report Type for RI/ first PMI,,,,5,N/A,,5,N/A,
Reporting periodicity,,,ms,Npd = 10,N/A,,Npd = 10,N/A,
CQI Delay,,,ms,10 or 11,N/A,,10 or 11,N/A,
cqi-pmi-ConfigurationIndex,,,,13,N/A,,13,N/A,
ri-ConfigIndex,,,,805 (Note 6),N/A,,805 (Note 6),N/A,
ACK/NACK feedback mode,,,,Multiplexing,N/A,,Multiplexing,N/A,
PDSCH scheduled sub-frames,,,,"3,4,9","3,4,8,9",,"3,4,9","3,4,8,9",
Timing offset between TPs,,,us,0,,,0,,
Frequency offset between TPs,,,Hz,0,,,0,,
"NOTE 1:Reference measurement channel RC.10 TDD according to Table A.4-1 with one sided dynamic OCNG Pattern OP.1 TDD as described in Annex A.5.2.1.NOTE 2:REs for antenna ports 0 and 1 CRS have zero transmission power.NOTE 3:For each test, the minimum requirements shall be fulfilled for at least one of the two SNR(s) and the respective wanted signal input level.NOTE 4:N/A.NOTE 5:To avoid collisions between CQI/PMI reports and HARQ-ACK it is necessary to report both on PUSCH instead of PUCCH. PDCCH DCI format 0 shall be transmitted in downlink SF#3 to allow periodic CQI/PMI to multiplex with the HARQ-ACK on PUSCH in uplink SF#7.NOTE 6:RI reporting interval is set to the maximum allowable length of 160ms to minimise collisions between RI, CQI/PMI and HARQ-ACK reports. In the case when all three reports collide, it is expected that CQI/PMI reports will be dropped, while RI and HARQ-ACK will be multiplexed. At eNB, CQI report collection shall be skipped every 160ms during performance verification.",,,,,,,,,
