Test number,Bandwidth (MHz),,,"Number of bits of a DL-SCH transport block received within a TTI (for normal/special subframe for TDD, except for subframe #5)",,Measurement channel,,Reference value
,Total,FDD CC,TDD CC,FDD CC,TDD CC,FDD CC,TDD CC,TB success rate [%]
1,2x20,20,20,75376,75376/0,R.31-4 FDD,R.31-4 TDD,85
2,10+20,10,20,36696,75376/0,R.31-3A FDD,R.31-4 TDD,85
2A,15+20,15,20,55056,75376/0,R.31-5 FDD,R.31-4 TDD,85
3,10+10,10,10,36696,36696/0,R.31-3A FDD,R.31-6 TDD,85
4,3x20,20,2x20,75376,75376/0,R.31-4 FDD,R.31-4 TDD,85
5,15+20+20,15,2x20,55056,75376/0,R.31-5 FDD,R.31-4 TDD,85
6,10+20+20,10,2x20,36696,75376/0,R.31-3A FDD,R.31-4 TDD,85
7,3x20,2x20,20,75376,75376/0,R.31-4 FDD,R.31-4 TDD,85
8,20+20+15,20+15,20,75376 for 20MHz CC 55056 for 15MHz CC,75376/0,"R.31-4 FDD for 20MHz CC, R.31-5 FDD for 15MHz CC",R.31-4 TDD,85
9,20+20+10,20+10,20,75376 for 20MHz CC 36696 for 10MHz CC,75376/0,"R.31-4 FDD for 20MHz CC, R.31-3A FDD for 10MHz CC",R.31-4 TDD,85
9A,20+10+10,2x10,20,36696,75376/0,R.31-3A,R.31-4 TDD,85
9B,10+15+20,10,15+20,36696,75376/0 for 20MHz CC55056/0 for 15MHz CC,R.31-3A FDD,R.31-5 TDD for 15MHz CCR.31-4 TDD for 20MHz CC,85
9C,10+15+20,10+15,20,36696 for 10MHz CC55056 for 15MHz CC,75376/0,R.31-3A FDD for 10MHz CCR.31-5 FDD for 15MHz CC,R.31-4 TDD,85
10,4x20,20,3x20,75376,75376/0,R.31-4 FDD,R.31-4 TDD,85
11,4x20,2×20,2×20,75376,75376/0,R.31-4 FDD,R.31-4 TDD,85
12,3x20+15,20+15,2×20,75376 for 20MHz CC 55056 for 15MHz CC,75376/0,"R.31-4 FDD for 20MHz CC, R.31-5 FDD for 15MHz CC",R.31-4 TDD,85
13,2×15+2x20,2×15,2x20,55056,75376/0,R.31-5 FDD,R.31-4 TDD,85
14,3x20+15,2×20+15,20,75376 for 20MHz CC 55056 for 15MHz CC,75376/0,"R.31-4 FDD for 20MHz CC, R.31-5 FDD for 15MHz CC",R.31-4 TDD,85
15,2×15+2x20,2x15+20,20,75376 for 20MHz CC 55056 for 15MHz CC,75376/0,"R.31-4 FDD for 20MHz CC, R.31-5 FDD for 15MHz CC",R.31-4 TDD,85
15A,3x20+10,2x20+10,20,75376 for 20MHz CC 36696 for 10MHz CC,75376/0,"R.31-4 FDD for 20MHz CC, R.31-3A FDD for 10MHz CC",R.31-4 TDD,85
15B,4x20,3x20,20,75376,75376/0,R.31-4 FDD,R.31-4 TDD,85
15C,10+3x20,10,3x20,36696,75376/0,R.31-3A FDD,R.31-4 TDD,85
15D,2x10+2x20,2x10,2x20,36696,75376/0,R.31-3A FDD,R.31-4 TDD,85
15E,2x10+20+15,2x10,20+15,36696,75376/0 for 20MHz CC55056/0 for 15MHz CC,R.31-3A FDD,R.31-5 TDD for 15MHz CCR.31-4 TDD for 20MHz CC,85
15F,10+3x20,10+20,2x20,75376 for 20MHz CC 36696 for 10MHz CC,75376/0,"R.31-4 FDD for 20MHz CC, R.31-3A FDD for 10MHz CC",R.31-4 TDD,85
15G,10+15+2x20,10+15,2x20,36696 for 10MHz CC55056 for 15MHz CC,75376/0,R.31-3A FDD for 10MHz CCR.31-5 FDD for 15MHz CC,R.31-4 TDD,85
15H,10+15+2x20,10+15+20,20,36696 for 10MHz CC55056 for 15MHz CC75376 for 20MHz CC,75376/0,R.31-3A FDD for 10MHz CCR.31-5 FDD for 15MHz CCR.31-4 FDD for 20MHz CC,R.31-4 TDD,85
16,4x20+15,2x20+15,2x20,75376 for 20MHz CC 55056 for 15MHz CC,75376/0,"R.31-4 FDD for 20MHz CC, R.31-5 FDD for 15MHz CC",R.31-4 TDD,85
17,2x15+3x20,2x15+20,2x20,75376 for 20MHz CC 55056 for 15MHz CC,75376/0,"R.31-4 FDD for 20MHz CC, R.31-5 FDD for 15MHz CC",R.31-4 TDD,85
18,4x20+20,4x20,20,75376,75376/0,R.31-4 FDD,R.31-4 TDD,85
19,3x20+2x20,3x20,2x20,75376,75376/0,R.31-4 FDD,R.31-4 TDD,85
20,2x20+3x20,2x20,3x20,75376,75376/0,R.31-4 FDD,R.31-4 TDD,85
21,20+4x20,20,4x20,75376,75376/0,R.31-4 FDD,R.31-4 TDD,85
22,10+4x20,10,4x20,36696,75376/0,R.31-3A FDD,R.31-4 TDD,85
23,10+20+3x20,10+20,3x20,75376 for 20MHz CC 36696 for 10MHz CC,75376/0,"R.31-4 FDD for 20MHz CC, R.31-3A FDD for 10MHz CC",R.31-4 TDD,85
24,2x10+3x20,2x10,3x20,36696,75376/0,R.31-3A FDD,R.31-4 TDD,85
25,10+2×20+2×20,10+2x20,2x20,75376 for 20MHz CC 36696 for 10MHz CC,75376/0,"R.31-4 FDD for 20MHz CC, R.31-3A FDD for 10MHz CC",R.31-4 TDD,85
26,10+15+20+2x20,10+15+20,2x20,75376 for 20MHz CC55056 for 15MHz CC 36696 for 10MHz CC,75376/0,"R.31-4 FDD for 20MHz CC, R.31-5 FDD for 15MHz CC, R.31-3A FDD for 10MHz CC",R.31-4 TDD,85
27,20+5x20,20,5x20,75376,75376/0,R.31-4 FDD,R.31-4 TDD,85
