Parameter,,Unit,Test 1,,Test 2,
Bandwidth,,MHz,10,,,
PDSCH transmission mode,,,4,,,
Downlink power allocation,,dB,-3,,,
,,dB,-3,,,
,,dB,0,,,
Propagation condition and antenna configuration,,,Clause B.1 (2 x 2),,,
CodeBookSubsetRestriction bitmap,,,010000,,,
SNR (Note 2),,dB,10,11,16,17
,,dB[mW/15kHz],-88,-87,-82,-81
,,dB[mW/15kHz],-98,,-98,
Max number of HARQ transmissions,,,1,,,
Physical channel for CQI/PMI reporting,,,PUCCH Format 2,,,
PUCCH Report Type for CQI/PMI,,,2,,,
PUCCH Report Type for RI,,,3,,,
Reporting periodicity,,ms,Npd = 5,,,
cqi-pmi-ConfigurationIndex,,,6,,,
ri-ConfigIndex,,,1 (Note 3),,,
"Note 1:Reference measurement channel RC.2 FDD according to Table A.4-1 with one sided dynamic OCNG Pattern OP.1 FDD as described in Annex A.5.1.1.Note 2:For each test, the minimum requirements shall be fulfilled for at least one of the two SNR(s) and the respective wanted signal input level.Note 3:It is intended to have UL collisions between RI reports and HARQ-ACK, since the RI reports shall not be used by the eNB in this test.",,,,,,
