Parameter,,Unit,Single antenna port,Transmit diversity
Uplink downlink configuration (Note 1),,,0,0
Special subframe configuration (Note 2),,,4,4
Number of PDCCH symbols,,symbols,2,2
PHICH Ng (Note 3),,,1,1
PHICH duration,,,Normal,Normal
Unused RE-s and PRB-s,,,OCNG,OCNG
Cell ID,,,0,0
Downlink power allocation,PDCCH_RAPHICH_RAOCNG_RA,dB,0,-3
,PCFICH_RBPDCCH_RBPHICH_RBOCNG_RB,dB,0,-3
at antenna port,,dBm/15kHz,-98,-98
Cyclic prefix,,,Normal,Normal
ACK/NACK feedback mode,,,Multiplexing,Multiplexing
Note 1:as specified in Table 4.2-2 in TS 36.211 [4].Note 2:as specified in Table 4.2-1 in TS 36.211 [4].Note 3:According to Clause 6.9 in TS 36.211 [4],,,,
