Parameter,,Unit,"Test 1, 2","Test 3, 4"
Communication resource pool configuration,,,As specified in Table A.9-1(Configuration #1-V2X),
at antenna port,,dBm/15kHz,-98,
Active cell(s),,,None,
V2X Tx format(SL-V2X-TxProfileList-r15),,,N/A,SL-V2X-TxProfile-r15 = rel15
Sidelink UE 1,Sidelink Transmissions,,PSCCH+PSSCH,
,Timing offset (Note 1),,CP/2-12Ts,
,Frequency offset (Note 2),Hz,+600,
,Synchronization,,GNSS or GNSS-equivalent,
,Antenna configuration,,1x2 Low,
Note 1:Time offset of Sidelink UE receive signal with respect to GNSS reference timing.Note 2:Frequency offset of Sidelink UE with respect to GNSS reference frequency.,,,,
