Parameter,,Unit,Test 1
Number of PDCCH symbols,,symbols,2
Unused RE-s and PRB-s,,,OCNG
Cell ID,,,0
Downlink power allocation,,dB,-3
,,dB,-3
,,dB,0
at antenna port,,dBm/15kHz,-98
CSI-RS signals,,,"Antenna ports 15, 16"
CRS-RS periodicity and subframe offset,,,5 / 4
CSI-RS configuration,,,0
Zero-power CRI-RS configuration,,,Not configured
Subframe configuration,,,Non-MBSFN
Precoder update granularity,,SREG,2
,,ms,1
Beamforming precoder,,,Annex B.4.2
Cell specific reference signal,,,"0,1"
DL TTI length,,,Slot
Configured SPDCCH-PRB sets,,,"{Set 1, Set 2}"
SPDCCH-PRB set used for DCI transmission,,,Set 1
Used/Unused SPDCCH resource indication,,,’10’
PDSCH transmission mode,,,TM9
DCI format,,,7-1F
