Parameter,,Unit,Test 1,,,Test 2,,
,,,Cell 1,,Cell 2 and 3,Cell 1,,Cell 2 and 3
Bandwidth,,MHz,10,,,10,,
PDSCH transmission mode,,,1,,Note 10,1,,Note 10
Downlink power allocation,,dB,0,,,0,,
,,dB,0,,,0,,
,,dB,0,,,0,,
Propagation condition,,,"Clause B.2.4 with Td = 0.45 us, a = 1, fd = 5 Hz",,EVA5Low antenna correlation,"Clause B.2.4 with Td = 0.45 us, a = 1, fd = 5 Hz",,EVA5Low antenna correlation
Antenna configuration,,,1x2,,,1x2,,
(Note 1),,dB,4,5,Cell 2: 12Cell 3: 10,14,15,Cell 2: 12Cell 3: 10
at antenna port,,dBm/15kHz,-98 (Note 7),,N/A,-98 (Note 7),,N/A
,,dBm/15kHz,-98 (Note 8),,N/A,-98 (Note 8),,N/A
,,dBm/15kHz,-93 (Note 9),,N/A,-93 (Note 9),,N/A
Subframe Configuration,,,Non-MBSFN,,Non-MBSFN,Non-MBSFN,,Non-MBSFN
Cell Id,,,0,,Cell 2: 6Cell 3: 1,0,,Cell 2: 6Cell 3: 1
Time Offset between Cells,,s,Cell 2: 3 usecCell 3: -1usec,,,Cell 2: 3 usecCell 3: -1usec,,
Frequency Shift between Cells,,Hz,Cell 2: 300HzCell 3: -100Hz,,,Cell 2: 300HzCell 3: -100Hz,,
ABS pattern (Note 2),,,N/A,,0101010101010101010101010101010101010101,N/A,,0101010101010101010101010101010101010101
RLM/RRM Measurement Subframe Pattern (Note 4),,,0000010000000100000001000000010000000100,,N/A,0000010000000100000001000000010000000100,,N/A
CSI Subframe Sets (Note 3),"CCSI,0",,0101010101010101010101010101010101010101,,N/A,0101010101010101010101010101010101010101,,N/A
,"CCSI,1",,1010101010101010101010101010101010101010,,N/A,1010101010101010101010101010101010101010,,N/A
Number of control OFDM symbols,,,3,,,3,,
Max number of HARQ transmissions,,,1,,,1,,
CQI delay,,ms,8,,,,,
Reporting interval (Note 13),,ms,10,,,,,
Reporting mode,,,PUSCH 3-0,,,,,
Sub-band size,,RB,6 (full size),,,,,
"Note 1:For each test, the minimum requirements shall be fulfilled for at least one of the two SNR(s) and the respective wanted signal input level.Note 2:ABS pattern as defined in [9]. PDSCH other than SIB1/paging and its associated PDCCH/PCFICH are transmitted in the serving cell subframe when the subframe is overlapped with the ABS subframe of aggressor cell and the subframe is available in the definition of the reference channel.Note 3:Time-domain measurement resource restriction pattern for PCell measurements as defined in [7]Note 4:As configured according to the time-domain measurement resource restriction pattern for CSI measurements defined in [7]Note 5:Time-domain measurement resource restriction pattern for PCell measurements as defined in [7]Note 6:Cell 1 is the serving cell. Cell 2 and Cell 3 are the aggressor cells. The number of the CRS ports in Cell1, Cell2, and Cell3 are the same.Note 7:This noise is applied in OFDM symbols #1, #2, #3, #5, #6, #8, #9, #10,#12, #13 of a subframe overlapping with the aggressor ABS.Note 8:This noise is applied in OFDM symbols #0, #4, #7, #11 of a subframe overlapping with the aggressor ABS.Note 9:This noise is applied in all OFDM symbols of a subframe overlapping with aggressor non-ABS.Note 10:Downlink physical channel setup in Cell 2 and Cell 3 in accordance with Annex C.3.3 applying OCNG pattern as defined in Annex A.5.1.5Note 11:Reference measurement channel in Cell 1 RC.3 FDD according to Table A.4-1 with one/two sided dynamic OCNG Pattern OP.1/2 FDD as described in Annex A.5.1.1/2.Note 12:If the UE reports in an available uplink reporting instance at subframe SF#n based on CQI estimation at a downlink subframe not later than SF#(n-4), this reported subband or wideband CQI cannot be applied at the eNB downlink before SF#(n+4).Note 13:The CSI reporting is such that reference subframes belong to Ccsi,0.",,,,,,,,
