Parameter,,Unit,Test 1,Test 2,Test 3
Bandwidth,,MHz,10,,
PDSCH transmission mode,,,4,,
Downlink power allocation,,dB,-3,,
,,dB,-3,,
,,dB,0,,
Propagation condition and antenna configuration,,,2 x 2 EPA5,,
CodeBookSubsetRestriction bitmap,,,000011 for fixed RI = 1010000 for fixed RI = 2010011 for UE reported RI,,
Antenna correlation,,,Low,Low,High
RI configuration,,,Fixed RI=2 and follow RI,Fixed RI=1 and follow RI,Fixed RI=1 and follow RI
SNR,,dB,0,20,20
,,dB[mW/15kHz],-98,-98,-98
,,dB[mW/15kHz],-98,-78,-78
Maximum number of HARQ transmissions,,,1,,
Reporting mode,,,PUCCH 1-1 (Note 4),,
Physical channel for CQI/PMI reporting,,,PUCCH Format 2,,
PUCCH Report Type for CQI/PMI,,,2,,
Physical channel for RI reporting,,,PUSCH (Note 3),,
PUCCH Report Type for RI,,,3,,
Reporting periodicity,,ms,Npd= 5,,
PMI and CQI delay,,ms,8,,
cqi-pmi-ConfigurationIndex,,,6,,
ri-ConfigurationInd,,,1 (Note 5),,
"Note 1: If the UE reports in an available uplink reporting instance at subframe SF#n based on PMI and CQI estimation at a downlink subframe not later than SF#(n-4), this reported PMI and wideband CQI cannot be applied at the eNB downlink before SF#(n+4).Note 2: Reference measurement channel RC.2 FDD according to Table A.4-1 with one sided dynamic OCNG Pattern OP.1 FDD as described in Annex A.5.1.1.Note 3:To avoid collisions between RI reports and HARQ-ACK it is necessary to report both on PUSCH instead of PUCCH. PDCCH DCI format 0 shall be transmitted in downlink SF#4 and #9 to allow periodic RI to multiplex with the HARQ-ACK on PUSCH in uplink subframe SF#8 and #3.Note 4:The bit field for precoding information in DCI format 2 shall be mapped as:●For reported RI = 1 and PMI = 0 >> precoding information bit field index = 1●For reported RI = 1 and PMI = 1 >> precoding information bit field index = 2●For reported RI = 2 and PMI = 0 >> precoding information bit field index = 0Note 5:To avoid the ambiguity of TE behaviour when applying CQI and PMI during rank switching, RI reports are to be applied at the TE with one subframe delay in addition to Note 1 to align with CQI and PMI reports.",,,,,
