Parameter,,Unit,Test 1-2,Test 3
Downlink power allocation,,dB,-3,-3
,,dB,-3 (Note 1),-3 (Note 1)
,,dB,0,0
at antenna port,,dBm/15kHz,-98,-98
Precoding granularity,,PRB,50,8
PMI delay (Note 2),,ms,10 or 11,10 or 11
Reporting interval,,ms,1 or 4 (Note 3),1 or 4 (Note 3)
Reporting mode,,,PUSCH 3-1,PUSCH 1-2
ACK/NACK feedback mode,,,Bundling,Bundling
CodeBookSubsetRestriction bitmap,,,110000,110000
PDSCH transmission mode,,,4,4
Number of OFDM symbols for PDCCH per component carrier,,OFDM symbol,2,1
"Note 1:.Note 2:If the UE reports in an available uplink reporting instance at subrame SF#n based on PMI estimation at a downlink SF not later than SF#(n-4), this reported PMI cannot be applied at the eNB downlink before SF#(n+4).Note 3:For Uplink - downlink configuration 1 the reporting interval will alternate between 1ms and 4ms.",,,,
