Parameter,,Unit,Test 1,,Test 2,
Bandwidth,,MHz,10 MHz,,,
Transmission mode,,,9,,,
Uplink downlink configuration,,,2,,,
Special subframe configuration,,,4,,,
Downlink power allocation,,dB,0,,,
,,dB,0,,,
,,dB,-6,,,
,,dB,-3,,,
SNR (Note 3),,dB,1,2,7,8
,,dB[mW/15kHz],-97,-96,-91,-90
,,dB[mW/15kHz],-98,,-98,
Propagation channel,,,EPA5,,,
Correlation and antenna configuration,,,XP High (8 x 2),,,
Beamforming Model,,,As specified in Section B.4.3,,,
CRS reference signals,,,"Antenna ports 0, 1",,,
CSI reference signals,,,"Antenna ports 15,…,22",,,
CSI-RS periodicity and subframe offsetTCSI-RS / ∆CSI-RS,,,5/ 3,,,
CSI-RS reference signal configuration,,,2,,,
CodeBookSubsetRestriction bitmap,,,0x0000 0000 0000 0020 0000 0000 0001,,,
Reporting mode,,,PUCCH 1-1 (Sub-mode: 2),,,
Reporting periodicity,,ms,Npd = 5,,,
CQI delay,,ms,10,,,
Physical channel for CQI/ PMI reporting,,,PUSCH (Note 4),,,
PUCCH Report Type for CQI/ PMI,,,2c,,,
Physical channel for RI reporting,,,PUCCH Format 2,,,
PUCCH report type for RI,,,3,,,
cqi-pmi-ConfigurationIndex,,,3,,,
ri-ConfigIndex,,,805 (Note 5),,,
Max number of HARQ transmissions,,,1,,,
ACK/NACK feedback mode,,,Multiplexing,,,
"Note 1:If the UE reports in an available uplink reporting instance at subframe SF#n based on CQI estimation at a downlink SF not later than SF#(n-4), this reported wideband CQI cannot be applied at the eNB downlink before SF#(n+4)Note 2:Reference measurement channel RC.7 TDD according to Table A.4-1 with one sided dynamic OCNG Pattern OP.1 TDD as described in Annex A.5.2.1.Note 3:For each test, the minimum requirements shall be fulfilled for at least one of the two SNR(s) and the respective wanted signal input level.Note 4:To avoid collisions between CQI/ PMI reports and HARQ-ACK it is necessary to report both on PUSCH instead of PUCCH. PDCCH DCI format 0 shall be transmitted in downlink SF#3 and #8 to allow periodic CQI/ PMI to multiplex with the HARQ-ACK on PUSCH in uplink subframe SF#2 and #7.Note 5:RI reporting interval is set to the maximum allowable length of 160ms to minimise collisions between RI, CQI/PMI and HARQ-ACK reports. In the case when all three reports collide, it is expected that CQI/PMI reports will be dropped, while RI and HARQ-ACK will be multiplexed. At eNB, CQI report collection shall be skipped every 160ms during performance verification and the reported CQI in subframe SF#7 of the previous frame is applied in downlink subframes until a new CQI (after CQI/PMI dropping) is available.",,,,,,
