Test number,Bandwidth combination (MHz),Measurement channel,Reference valueTB success rate (%),,
,,,DRB type of Split bearer (Note 2),DRB type of SCG bearer (Note 3),
,,,,MCG,SCG
1,2x10,R.68-2 FDD,85,85,85
2,10+20,R.68-2 FDD for 10MHz CCR.68 FDD for 20MHz CC,85,85,85
3,2x15,R.68-1 FDD,85,85,85
4,15+20,R.68-1 FDD for 15MHz CCR.68 FDD for 20MHz CC,85,85,85
5,2x20,R.68 FDD,85,85,85
6,15+5,R.68-1 FDD for 15MHz CCR.68-3 FDD for 5MHz CC,85,85,85
6A,10+15,R.68-2 FDD for 10MHz CCR.68-1 FDD for 15MHz CC,85,85,85
7,15+20+20,R.68-1 FDD for 15MHz CCR.68 FDD for 20MHz CC,85,85,85
8,15+15+20,R.68-1 FDD for 15MHz CCR.68 FDD for 20MHz CC,85,85,85
9,10+10+20,R.68-2 FDD for 10MHz CCR.68 FDD for 20MHz CC,85,85,85
10,10+15+15,R.68-2 FDD for 10MHz CCR.68-1 FDD for 15MHz CC,85,85,85
11,10+15+20,R.68-2 FDD for 10MHz CCR.68-1 FDD for 15MHz CCR.68 FDD for 20MHz CC,85,85,85
12,10+20+20,R.68-2 FDD for 10MHz CCR.68 FDD for 20MHz CC,85,85,85
13,20+20+20,R.68 FDD,85,85,85
"Note 1:For 2 layer transmissions, 2 transport blocks are received within a TTI.Note 2:For the configuration of DRB type of Split bearer, the TB success rate across CGs is defined as TB success rate = 100%*NDL_correct_rx/ (NDL_newtx + NDL_retx), where NDL_newtx is the number of newly transmitted DL transport blocks , NDL_retx is the number of retransmitted DL transport blocks, and NDL_correct_rx is the number of correctly received DL transport blocks. All the above numbers of transmitted, retransmitted or correctly received DL transport blocks are calculated as the sum of the numbers of DL transport blockes across all the CGs used for DC transmission or reception.Note 3:For the configuration of DRB type of SCG bearer, the TB success rate across CGs is defined as TB success rate = 100%*NDL_correct_rx/ (NDL_newtx + NDL_retx), where NDL_newtx is the number of newly transmitted DL transport blocks, NDL_retx is the number of retransmitted DL transport blocks, and NDL_correct_rx is the number of correctly received DL transport blocks. All the above numbers of transmitted, retransmitted or correctly received DL transport blocks are calculated as the sum of the numbers of DL transport blockes per CG used for DC transmission or reception, separately.",,,,,
