Parameter,Unit,Value
Uplink downlink configuration (Note 1),,1
Special subframe configuration (Note 2),,4
Cyclic prefix,,Normal
Cell ID,,0
Inter-TTI Distance,,1
Number of HARQ processes per component carrier,Processes,7
Maximum number of HARQ transmission (Note 3),,4
Redundancy version coding sequence,,"{0,1,2,3} for QPSK and 16QAM{0,0,1,2} for 64QAM and 256QAM"
Cross carrier scheduling,,Not configured
"Note 1:as specified in Table 4.2-2 in TS 36.211 [4].Note 2:as specified in Table 4.2-1 in TS 36.211 [4].Note 3:For retransmission in partial subframes, the TB size should be kept the same as the initial transmission regardless of the initial transmission is performed in full subframes or partial subframes.",,
