parameter,,Unit,Test 1
Downlink power allocation,,dB,0
,,dB,0 (Note 1)
,,dB,-3
Cell-specific reference signals,,,Antenna ports 0 and 1
CSI reference signals,,,"Antenna ports 15,16"
Beamforming model,,,Annex B.4.3
CSI-RS periodicity and subframe offset          TCSI-RS / ∆CSI-RS,,Subframes,5 / 2
CSI reference signal configuration,,,8
Zero-power CSI-RS configurationICSI-RS /       ZeroPowerCSI-RS bitmap,,Subframes / bitmap,3 /0010000000000000
at antenna port,,dBm/15kHz,-98
Symbols for unused PRBs,,,OCNG (Note 2)
Number of allocated resource blocks (Note 2),,PRB,50
Simultaneous transmission,,,No
Reporting mode,,,PUSCH 3-1
PDSCH transmission mode,,,9
"Note 1:Note 2:These physical resource blocks are assigned to an arbitrary number of virtual UEs with one PDSCH per virtual UE; the data transmitted over the OCNG PDSCHs shall be uncorrelated pseudo random data, which is QPSK modulated.",,,
