Test number,Bandwidth combination (MHz)
1,4x20
2,20+20+20+10
3,20+20+10+10
4,20+20+10+5
5,20+10+10+5
6,15+3x20
7,2x15+2x20
8,10+15+2x20
9,3x10+20
10,2x5+2x20
11,2x5+10+20
12,4x10
"Note 1: The applicability of requirements for different CA configurations and bandwidth combination sets is defined in 9.1.1.2. The test coverage for different number of component carriers is defined in 9.1.1.3.Note 2: If more than one cell can be configured as PCell, choose one of the cells with the smallest bandwidth as PCell. Mapping of PCell and Scells to the CCs shall be constant for all the iterations during the test. Each execution of the test shall use the same mapping.",
