Parameter,,Unit,Test 1,Test 2,Test 3
Bandwidth,,MHz,10,10,10
Transmission mode,,,9,9,9
Uplink downlink configuration,,,1,1,1
Special subframe configuration,,,4,4,4
Propagation channel,,,EVA5,EVA5,EVA5
Precoding granularity,,PRB,50,50,50
Antenna configuration,,,8 x 2,8 x 2,8 x 2
Correlation modeling,,,"High, Cross polarized","High, Cross polarized","High, Cross polarized"
Cell-specific reference signals,,,"Antenna ports 0,1","Antenna ports 0,1","Antenna ports 0,1"
CSI reference signals,,,"Antenna ports15,…,22","Antenna ports15,…,22","Antenna ports15,…,22"
Beamforming model,,,Annex B.4.3,Annex B.4.3,Annex B.4.3
FrequencyDensityBeamformed,,,N/A,1,1
NZP-TransmissionCombBeamformed,,,N/A,N/A,N/A
csi-RS-NZP-mode,,,N/A,aperiodic,multiShot
NumberActivatedAperiodicCSI-RS-Resources,,,N/A,1,N/A
CSI-RS-ConfigNZPAperiodic,,,N/A,"0,1 (Note 5)",N/A
NumberActivatedCSI-RS-Resources,,,N/A,N/A,1
eMIMO-Type,,,N/A,ClassB,ClassB
CSI-RS periodicity and subframe offsetTCSI-RS / ∆CSI-RS,,,5/ 4,N/A,5/ 4
CSI-RS reference signal configuration,,,0,N/A,"0,1(Note 6,7)"
CodeBookSubsetRestriction bitmap,,,0x0000 0000 001F FFE0 0000 0000 FFFF,0x0000 0000 001F FFE0 0000 0000 FFFF,0x0000 0000 001F FFE0 0000 0000 FFFF
Downlink power allocation,,dB,0,0,
,,dB,0,0,
,Pc,dB,-6,-6,
,,dB,-3,-3,
,,dB[mW/15kHz],-98,-98,-98
Reporting mode,,,PUSCH 3-1,PUSCH 3-1,PUSCH 3-1
Reporting interval,,ms,5,5,5
PMI delay (Note 2),,ms,10,10,10
Measurement channel,,,"R.45-1 TDD for UE Category 1, R.45 TDD for UE Category ≥2",R.45 TDD,R.45 TDD
OCNG Pattern,,,"OP.7 TDD for UE Category 1, and OP.1 TDD for UE Category ≥2",OP.1 TDD,OP.1 TDD
Max number of HARQ transmissions,,,4,4,4
Redundancy version coding sequence,,,"{0,1,2,3}","{0,1,2,3}","{0,1,2,3}"
ACK/NACK feedback mode,,,Multiplexing,Multiplexing,Multiplexing
"Note 1:For random precoder selection, the precoder shall be updated in each TTI (1 ms granularity).Note 2:If the UE reports in an available uplink reporting instance at subrame SF#n based on PMI estimation at a downlink SF not later than SF#(n-4), this reported PMI cannot be applied at the eNB downlink before SF#(n+4).Note 3:PDCCH DCI format 0 with a trigger for aperiodic CQI shall be transmitted in downlink SF#4 and #9 to allow aperiodic CQI/PMI/RI to be transmitted on uplink SF#3 and #8.Note 4: Randomization of the principle beam direction shall be used as specified in B.2.3A.4Note 5:Only one of these two aperiodic NZP CSI-RS resources will be randomly seleted and activated during test .The selected aperiodic NZP CSI-RS is transmitted in every subframe #4 and #9.  Note 6:Through MAC CE, one of these two periodic NZP CSI-RS resources will be activated and the other one will be deactivated in an alternative way. The activation and deactivation command will be transmitted in sub-frame #0 per [10000] ms.Note 7:When activation and/or deactivation command through MAC CE is transmitted at subframe n, the scheduled PDSCH transmission will be skiped for the subsequent 25 subframes.",,,,,
