Parameter,,,Unit,,Test 1,Test 2,
Bandwidth,,,MHz,,10 MHz,10 MHz,
Transmission mode,,,,,1 (port 0),1 (port 0),
Downlink power allocation,,,dB,,0,0,
,,,dB,,0,0,
,,,dB,,0,0,
Uplink downlink configuration,,,,,2,,
Special subframe configuration,,,,,4,,
for RB 0…5,,,dB[mW/15kHz],,-102,-93,
for RB 6…41,,,dB[mW/15kHz],,-93,-93,
for RB 42…49,,,dB[mW/15kHz],,-93,-102,
,,,dB[mW/15kHz],,-94,-94,
Max number of HARQ transmissions,,,,,1,,
Propagation channel,,,,,"Clause B.2.4 with s, a = 1, Hz",,
Antenna configuration,,,,,1 x 2,,
Reporting interval,,,ms,,5,,
CQI delay,,,ms,,10 or 11,,
Reporting mode,,,,,PUSCH 3-0,,
Sub-band size,,,RB,,6 (full size),,
ACK/NACK feedback mode,,,,,Multiplexing,,
"Note 1:If the UE reports in an available uplink reporting instance at subframe SF#n based on CQI estimation at a downlink subframe not later than SF#(n-4), this reported subband or wideband CQI cannot be applied at the eNB downlink before SF#(n+4).Note 2:Reference measurement channel RC.3 TDD according to table A.4-1 with one/two sided dynamic OCNG Pattern OP.1/2 TDD as described in Annex A.5.2.1/2.",,,,,,,
