Parameter,,Unit,Values
Downlink power allocation,,dB,-6
,,dB,-6 (Note 1)
,,dB,-3
at antenna port,,dBm/15kHz,-98
Precoding granularity,,PRB,"6 for 1.4MHz, 4 for 3MHz and 5MHz CCs, 6 for 10MHz CCs, and 8 for 15MHz CCs and 20MHz CCs"
PMI delay (Note 2),,ms,8 for FDD CC10 or 11 for TDD CC
Reporting interval,,ms,1 for FDD CC1 or 4 for TDD CC (Note 3)
Reporting mode,,,PUSCH 1-2
CodeBookSubsetRestriction bitmap,,,0000000000000000000000000000000011111111111111110000000000000000
PDSCH transmission mode,,,4
ACK/NACK transmission,,,Separate ACK/NACK feedbacks with PUCCH format 1b on the MCG and SCG
CSI feedback,,,Separate PUSCH feedbacks on the MCG and SCG
Time offset between MCG CC and SCG CC,,μs,0 for UE under test supporting synchronous dual connectivity;334 for UE under test supporting both asynchronous and synchrounous dual connectivity (Note 5)
"Note 1:.Note 2:If the UE reports in an available uplink reporting instance at subrame SF#n based on PMI estimation at a downlink SF not later than SF#(n-4), this reported PMI cannot be applied at the eNB downlink before SF#(n+4).Note 3:For Uplink - downlink configuration 1 the reporting interval will alternate between 1ms and 4ms.Note 4:The same PDSCH transmission mode is applied to each component carrier.Note 5:As defined in TS36.300 [11].Note 6: If the UE supports both SCG bearer and Split bearer, the SCG bearer is configured.",,,
