Parameter,,Unit,Test 1
Bandwidth,,MHz,10
Transmission mode,,,6
Propagation channel,,,EVA5
Correlation and antenna configuration,,,Low 4 x 2
Downlink power allocation,,dB,-6
,,dB,-6
,,dB,3
,,dB[mW/15kHz],-98
PMI delay,,ms,8
Reporting mode,,,PUSCH 2-2
Reporting interval,,ms,1
Measurement channel,,,R.14-2 FDD
OCNG Pattern,,,OP.1/2 FDD
Subband size (k),,RBs,3 (full size)
Number of preferred subbands (M),,,5
Max number of HARQ transmissions,,,4
Redundancy version coding sequence,,,"{0,1,2,3}"
"Note 1:For random precoder selection, the precoder shall be updated in each TTI (1 ms granularity)Note 2:If the UE reports in an available uplink reporting instance at subrame SF#n based on PMI estimation at a downlink SF not later than SF#(n-4), this reported PMI cannot be applied at the eNB downlink before SF#(n+4)",,,
