Parameter,,Unit,Value
Number of PDCCH symbols,,symbols,2 (Note 1)
PHICH duration,,,Normal
Unused RE-s and PRB-s,,,OCNG
Cell ID,,,0
Downlink power allocation,,dB,-3
,,dB,-3
,,dB,0
,δ,dB,3
at antenna port,,dBm/15kHz,-98
Cyclic prefix,,,Normal
Subframe Configuration,,,Non-MBSFN
Precoder Update Granularity,,PRB,1
,,ms,1
Beamforming Pre-Coder,,,Annex B.4.4
Cell Specific Reference Signal,,,Port 0 and 1
Number of EPDCCH Sets Configured,,,2 (Note 2)
Number of PRB per EPDCCH Set,,,4 (1st Set) 8 (2nd Set)
EPDCCH Subframe Monitoring,,,NA
PDSCH TM,,,TM3
DCI Format,,,2A
"Note 1:The starting symbol for EPDCCH is derived from the PCFICH. RRC signalling epdcch-StartSymbol-r11 is not configured.Note 2:The two sets are distributed EPDCCH sets and non-overlapping with PRB = {3, 17, 31, 45} for the first set and PRB = {0, 7, 14, 21, 28, 35, 42, 49} for the second set. EPDCCH is scheduled in the first set for Test 1 and second set for Test 2, respectively. Both sets are always configured.",,,
