Parameter,,Unit,PCell,SCell
PDSCH transmission mode,,,1,
Uplink downlink configuration,,,2,N/A
Special subframe configuration,,,4,N/A
Downlink power allocation,,dB,0,
,,dB,0,
Propagation condition and antenna configuration,,,AWGN (1 x 2),
SNR,,dB,10,4
,,dB[mW/15kHz],-88,-94
,,dB[mW/15kHz],-98,-98
Physical channel for CQI reporting,,,PUCCH Format 2,
PUCCH Report Type,,,4,
Reporting periodicity,,ms,Npd = 10,
cqi-pmi-ConfigurationIndex,,,8,13 (shift of 5 ms relative to Pcell)
Note 1:3 symbols are allocated to PDCCH. No PDSCH for user data is scheduled for the UE with one sided dynamic OCNG Pattern OP.1 FDD and OP.1 TDD as described in Annex A.5.1.1 and A.5.2.1.Note 2:VoidNote 3:Void,,,,
