Parameter,,Unit,Test 1,,Test 2,
Bandwidth,,MHz,10,,,
PDSCH transmission mode,,,1,,,
Uplink downlink configuration,,,2,,,
Special subframe configuration,,,4,,,
Downlink power allocation,,dB,0,,,
,,dB,0,,,
,,dB,0,,,
Propagation condition and antenna configuration,,,AWGN (1 x 1),,,
SNR (Note 2),,dB,0,1,6,7
,,dB[mW/15kHz],-98,-97,-92,-91
,,dB[mW/15kHz],-98,,-98,
Max number of HARQ transmissions,,,1,,,
Physical channel for CQI reporting,,,PUSCH (Note 3),,,
PUCCH Report Type,,,4,,,
Reporting periodicity,,ms,Npd = 5,,,
cqi-pmi-ConfigurationIndex,,,3,,,
ACK/NACK feedback mode,,,Multiplexing,,,
"Note 1:Reference measurement channel RC.4 TDD according to Table A.4-1 with one/two sided dynamic OCNG Pattern OP.1/OP.2 TDD as described in Annex A.5.2.1/A.5.2.2.Note 2:For each test, the minimum requirements shall be fulfilled for at least one of the two SNR(s) and the respective wanted signal input level.Note 3:To avoid collisions between CQI reports and HARQ-ACK it is necessary to report both on PUSCH instead of PUCCH. PDCCH DCI format 0 shall be transmitted in downlink SF#3 and #8 to allow periodic CQI to multiplex with the HARQ-ACK on PUSCH in uplink subframe SF#7 and #2.",,,,,,
