Parameter,,Unit,Test 1,Test 2
Downlink power allocation,,dB,-6,-6
,,dB,-6 (Note 1),-6 (Note 1)
,,dB,3,3
at antenna port,,dBm/15kHz,-98,-98
Precoding granularity,,PRB,6,50
PMI delay (Note 2),,ms,10 or 11,10 or 11
Reporting interval,,ms,1 or 4 (Note 3),1 or 4 (Note 3)
Reporting mode,,,PUSCH 1-2,PUSCH 3-1
CodeBookSubsetRestriction bitmap,,,0000000000000000000000000000000000000000000000001111111111111111,0000000000000000000000000000000000000000000000001111111111111111
ACK/NACK feedback mode,,,Multiplexing,Multiplexing
PDSCH transmission mode,,,4,4
"Note 1:.Note 2:If the UE reports in an available uplink reporting instance at subrame SF#n based on PMI estimation at a downlink SF not later than SF#(n-4), this reported PMI cannot be applied at the eNB downlink before SF#(n+4).Note 3:For Uplink - downlink configuration 1 the reporting interval will alternate between 1ms and 4ms.",,,,
