Parameter,,Unit,Cell 1,Cell 2,Cell 3
Uplink downlink configuration,,,1,1,1
Special subframe configuration,,,4,4,4
Downlink power allocation,,dB,-3,-3,-3
,,dB,-3 (Note 1),-3 (Note 1),-3 (Note 1)
,,dB,0,N/A,N/A
at antenna port,,dBm/15kHz,-98 (Note 2),N/A,N/A
,,dBm/15kHz,-98 (Note 3),N/A,N/A
,,dBm/15kHz,-93 (Note 4),N/A,N/A
,,dB,Reference Value in Table 8.2.2.3.4-2,Reference Value in Table 8.2.2.3.4-2,Reference Value in Table 8.2.2.3.4-2
BWChannel,,MHz,10,10,10
Subframe Configuration,,,Non-MBSFN,Non-MBSFN,Non-MBSFN
Time Offset between Cells,,s,N/A,3,-1
Frequency shift between Cells,,Hz,N/A,300,-100
Cell Id,,,0,1,126
ABS pattern (Note 5),,,N/A,0000000001 0000000001,0000000001 0000000001
RLM/RRM Measurement Subframe Pattern (Note 6),,,0000000001 0000000001,N/A,N/A
CSI Subframe Sets (Note7),"CCSI,0",,0000000001 0000000001,N/A,N/A
,"CCSI,1",,1100111000 1100111000,N/A,N/A
Number of control OFDM symbols,,,2,Note 8,Note 8
ACK/NACK feedback mode,,,Multiplexing,N/A,N/A
PDSCH transmission mode,,,3,Note 9,Note 9
Cyclic prefix,,,Normal,Normal,Normal
"Note 1:.Note 2:This noise is applied in OFDM symbols #1, #2, #3, #5, #6, #8, #9, #10,#12, #13 of a subframe overlapping with the aggressor ABS.Note 3:This noise is applied in OFDM symbols #0, #4, #7, #11 of a subframe overlapping with the aggressor ABS.Note 4:This noise is applied in all OFDM symbols of a subframe overlapping with aggressor non-ABSNote 5:ABS pattern as defined in [9].Note 6:Time-domain measurement resource restriction pattern for PCell measurements as defined in [7]Note 7:As configured according to the time-domain measurement resource restriction pattern for CSI measurements defined in [7].Note 8:The number of control OFDM symbols is not available for ABS and is 2 for the subframe indicated by “0” of ABS pattern.Note 9:Downlink physical channel setup in Cell 2 and Cell 3 in accordance with Annex C.3.3 applying OCNG pattern as defined in Annex A.5.Note 10:The number of the CRS ports in Cell1, Cell2 and Cell 3 is the same.Note 11:SIB-1 will not be transmitted in Cell2 and Cell 3 in this test.",,,,,
