CA config,Maximum supported Bandwidth/ Bandwidth combination (MHz),Cat. 1,Cat. 1bis,Cat. 2,Cat. 3,Cat. 4,"Cat. 6,7","Cat. 9,10","Cat 11, 12",DL Cat. 15
,,,,,,,,,"DL Cat. 11,12",
Single carrier,10,1,1A,2,3A,3A,-,-,-,-
,15,-,-,-,3C,4B,-,-,-,-
,20,-,1B,-,3,4,6,-,-,-
CA with 2CCs,10+10,-,-,-,3B,4A,4A,4A,-,-
,10+15,-,-,-,3B,4A,6B,6B,-,-
,10+20,-,-,-,3B,4A,6C,6C,-,-
,15+15,-,-,-,3B,4A,6E,6E,-,-
,15+5,,-,,3B,4A,6F,6F,-,-
,20+5,-,-,-,3,4,6G,6G,-,-
,15+20,-,-,-,3B,4A,6D,6D,-,-
,20+20,-,-,-,3B or 3 (Note 4),4A or 4 (Note 4),6A,6A,-,-
CA with 3CCs,3x20,-,-,-,-,-,6A,7,7,-
,15+20+20,-,-,-,-,-,6A,7A,7A,-
,10+20+20,-,-,-,-,-,6A,7B,7B,-
,15+15+20,,-,,,,6D,7C,7C,-
,10+15+20,-,-,-,-,-,6D,7D,7D,-
,10+10+20,-,-,-,-,-,7E,7E,7E,-
,10+15+15,-,-,-,-,-,7F,7F,7F,-
,5+10+20,-,-,-,-,-,7G,7G,7G,-
,5+15+20,-,-,-,-,-,7H,7H,7H,-
,5+10+10,-,-,-,-,-,7I,7I,7I,-
,5+5+20,,,,,,7J,7J,7J,
,3x10,,,,,,7K,7K,7K,
,5+5+10,,,,,,7L,7L,7L,
CA with 4CCs,4x20,-,-,-,-,-,-,7,8,8
,20+20+20+10,-,-,-,-,-,-,7,8A,8A
,20+20+10+10,-,-,-,-,-,-,8B,8B,8B
,20+20+10+5,-,-,-,-,-,-,8C,8C,8C
,20+10+10+5,-,-,-,-,-,-,8D,8D,8D
,15+3x20,,,,,,,8E,8E,8E
,2x15+2x20,,,,,,,8F,8F,8F
,10+15+2x20,,,,,,,8G,8G,8G
,3x10+20,,,,,,,8H,8H,8H
,2x5+2x20,,,,,,,8I,8I,8I
,2x5+10+20,,,,,,,8J,8J,8J
,4x10,,,,,,,8K,8K,8K
CA with 5CCs,5x20,-,-,-,-,-,-,-,8,9
,15+4x20,,,,,,,,,10
,10+4x20,,,,,,,,,11
,2x10+3x20,,,,,,,,,12
,5+10+3x20,,,,,,,,,13
,3x10+2x20,,,,,,,,,14
CA with 6CCs,6x20,-,-,-,-,-,-,-,10,10
CA with 7CCs,7x20,-,-,-,-,-,-,-,11,11
"Note 1:Void.Note 2:For non-CA UE, test is selected for maximum supported bandwidth.Note 3:Void.Note 4:If the intra-band contiguous CA is the only CA configuration supported by category 3 or 4 UE, the single carrier test is selecte, i.e., Test 3 for UE category 3 and Test 4 for UE category 4. Otherwise, Test 3B applies for category 3 UE and Test 4A applies for category 4 UE.Note 5:The applicability of requirements for different CA configurations and bandwidth combination sets is defined in 8.1.2.3.Note 6:If DL category is signalled by the UE under test, then select the test point according to UE DL Category. Otherwise, select the test point according to the UE category signalled.",,,,,,,,,,
