Parameter,,Unit,Single antenna port,Transmit diversity
Downlink power allocation,,dB,0,-3
,,dB,0,-3
,,dB,0,0
PHICH duration,,,Normal,Normal
PHICH Ng (Note 1),,,Ng = 1,Ng = 1
PDCCH Content,,,UL Grant should be included with the proper information aligned with A.3.6.DL Grant: Note 2,
Unused RE-s and PRB-s (Note 2),,,OCNG,OCNG
Cell ID,,,0,0
at antenna port,,dBm/15kHz,-98,-98
Cyclic prefix,,,Normal,Normal
"Note 1:according to Clause 6.9 in TS 36.211 [4].Note 2:Reference measurement channel R.15 FDD for Single Tx Antenna 8.10.3.1.1, R15-2 FDD for Transmit Diversity with 2Tx Antenna Port 8.10.3.1.2, R17 FDD for Transmit diversity with 4Tx Antenna Port 8.10.3.1.3, according to Table A.3.5.1-1 with one sided dynamic OCNG Pattern OP.1 FDD as described in Annex A.5.1.1 for the serving cell.",,,,
