Parameter,,Unit,Test 1-2
Downlink power allocation,,dB,0
,,dB,0 (Note 1)
,,dB,0
at antenna port,,dBm/15kHz,-98
PDSCH transmission mode in PCell and SCell,,,1
Subcarrier spacing for SCell,,kHz,1.25 kHz
Allocated subframes per Radio Frame for SCell (Note 2),,,8 subframes
Number of OFDM symbols for PDCCH for SCell,,,0 (MBSFN subframes)2 (non-MBSFN subframes)
Cyclic Prefix for Scell in non-MBSFN subframes,,,Extended
"Note 1:.Note 2:For SCell with FDD mode, up to 8 subframes (#1/2/3/4/6/7/8/9) are available for MBMS, in line with TS 36.331.",,,
