Test set,UE-EUTRA-Capability [7],Test list,,Notes
,,FDD,TDD,
1,crs-InterfMitigationTM1toTM9-r13(CRS-IM with 2 CRS antenna ports for PDSCH for UEs with 2 receiver antenna ports),8.2.1.4.1E Test 18.3.1.1G Test 1,8.2.2.4.1E Test 18.3.2.1H Test 1,
2,crs-InterfMitigationTM10-r13,8.3.1.3.4 Test 18.3.1.3.5 Test 1,8.3.2.3.4 Test 18.3.2.3.5 Test 1,
3,crs-InterfMitigationTM1toTM9-r13(CRS-IM with 4 CRS antenna ports for PDSCH for UEs with 2 receiver antenna ports),8.2.1.4.1F Test 18.3.1.1G Test 1,8.2.2.4.1F Test 18.3.2.1H Test 1,UE may skip the tests defined for test set 1
4,crs-InterfMitigationTM1toTM9-r13(CRS-IM with 2 CRS antenna ports for PDSCH for UEs with 4 receiver antenna ports),8.10.1.1.10 Test 18.10.1.1.12 Test 1,8.10.1.2.10 Test 18.10.1.2.12 Test 1,UE may skip the tests defined for test set 1
5,crs-InterfMitigationTM1toTM9-r13(CRS-IM with 4 CRS antenna ports for PDSCH for UEs with 4 receiver antenna ports),8.10.1.1.11 Test 18.10.1.1.12 Test 1,8.10.1.2.11 Test 18.10.1.2.12 Test 1,"UE may skip the tests defined for test sets 1,3 and 4"
6,[CRS-IM with 2 CRS antenna ports for PDSCH for UEs with 1 receiver antenna port and Category 1bis],8.9.1.1.3.2 Test 1,8.9.1.2.3.2 Test 1,
7,[CRS-IM with 4 CRS antenna ports for PDSCH for UEs with 1 receiver antenna port and Category 1bis],8.9.1.1.2.3 Test 1,8.9.1.2.2.3 Test 1,UE may skip the tests defined for test set 6
8,[CRS-IM with 2 CRS antenna ports for PDSCH for UEs with 1 receiver antenna port and Category M2],8.11.1.1.1.2 Test 1,8.11.1.1.2.2 Test 1,
9,[CRS-IM with 4 CRS antenna ports for PDSCH for UEs with 1 receiver antenna port and Category M2],8.11.1.1.1.3 Test 1,8.11.1.1.2.3 Test 1,UE may skip the tests defined for test set 8
