Parameter,,,,Unit,,Cell 1,,Cell 2,
Downlink power allocation,,,,dB,,-3,,-3,
,,,,dB,,-3 (Note 1),,-3,
,,,,dB,,0,,0,
Cell-specific reference signals,,,,,,"Antenna ports 0,1",,"Antenna ports 0,1",
at antenna port,,,,dBm/15kHz,,-98,,N/A,
DIP (Note 2),,,,dB,,N/A,,-1.73,
BWChannel,,,,MHz,,10,,10,
Cell Id,,,,,,0,,1,
PDSCH transmission mode,,,,,,6,,N/A,
Interference model,,,,,,N/A,,As specified in clause B.5.3,
Probability of occurrence of transmission rank in interfering cells,,,Rank 1,%,,N/A,,80,
,,,Rank 2,%,,N/A,,20,
Precoding granularity,,,,PRB,,50,,6,
PMI delay (Note 4),,,,ms,,10 or 11,,N/A,
Reporting interval,,,,ms,,5,,N/A,
Reporting mode,,,,,,PUCCH 1-1,,N/A,
CodeBookSubsetRestriction bitmap,,,,,,1111,,N/A,
Physical channel for CQI reporting,,,,,,PUSCH (Note 7),,N/A,
cqi-pmi-ConfigurationIndex,,TDD PCC,,,,3,,N/A,
,,TDD SCC,,,,4,,N/A,
"Note 1:Note 2:The respective received power spectral density of each interfering cell relative to  is defined by its associated DIP value as specified in clause B.5.1.Note 3:Cell 1 is the serving cell. Cell 2, 3 are the interfering cells.Note 4:If the UE reports in an available uplink reporting instance at subrame SF#n based on PMI estimation at a downlink SF not later than SF#(n-4), this reported PMI cannot be applied at the eNB downlink before SF#(n+4).Note 5:All cells are time-synchronous.Note 6:ACK/NACK bits are transmitted using PUSCH with PUCCH format 1b with channel selection configured for tests with 2 CCs.Note 7:To avoid collisions between CQI reports and HARQ-ACK it is necessary to report both on PUSCH instead of PUCCH. PDCCH DCI format 0 shall be transmitted in downlink SF#1, SF#4, SF#6 and #9 to allow periodic CQI to multiplex with the HARQ-ACK on PUSCH in uplink subframe SF#7 SF#8 SF#2 and SF#3.",,,,,,,,,
