Parameter,,,Unit,Cell 1,Cell 2,Cell 3
Number of PDCCH symbols,,,symbols,2 (Note 1),2,2
PHICH duration,,,,Normal,Normal,Normal
Cell ID,,,,0,6,1
Downlink power allocation,,,dB,-3,-3,-3
,,,dB,-3,-3,-3
,,,dB,0,0,0
,δ,,dB,3,3,3
Cell-specific reference signals,,,,"Antenna ports 0,1","Antenna ports 0,1","Antenna ports 0,1"
at antenna port,,,dBm/15kHz,-98,,
,,,dB,N/A,13.91,3.34
BWChannel,,,MHz,10,10,10
Cyclic Prefix,,,,Normal,Normal,Normal
Subframe Configuration,,,,Non-MBSFN,Non-MBSFN,Non-MBSFN
EPDCCH precoder Update Granularity,,,PRB,1,N/A,N/A
,,,ms,1,N/A,N/A
Beamforming Pre-Coder,,,,Annex B. 4.4,N/A,N/A
Number of EPDCCH Sets Configured,,,,1,N/A,N/A
EPDCCH Set type,,,,Distributed,N/A,N/A
Number of PRB per EPDCCH Set,,,,4,N/A,N/A
EPDCCH Set PRBs,,,,"3, 17, 31, 45",N/A,N/A
PDSCH TM,,,,TM9,N/A,N/A
Interference model,,,,N/A,As specified in clause B.5.4,As specified in clause B.5.4
Probability of occurrence of PDSCH transmission rank in interfering cells,,Rank 1,%,N/A,70,70
,,Rank 2,%,N/A,30,30
PDSCH precoder update granularity,,,PRB,N/A,50,50
Time offset to cell 1,,,s,N/A,2,3
Frequency offset to cell 1,,,Hz,N/A,200,300
TDD UL/DL Configuration,,,,0,0,0
TDD Special Subframe,,,,1 (Note 3),1,1
Note 1:The starting symbol for EPDCCH is derived from the PCFICH. RRC signalling epdcch-StartSymbol-r11 is not configured.Note 2:EPDCCH is scheduled in every subframe. EPDCCH Subframe Monitoring pattern is not configured.Note 3:Demodulation performance is averaged over normal and special subframes.,,,,,,
