CA config,Maximum supported Bandwidth/ Bandwidth combination (MHz),,,Cat. 1,Cat. 2,Cat. 3,Cat. 4,"Cat. 6, 7","Cat. 9,10","Cat 11, 12",DL Cat. 15
,Total,FDD CC,TDD CC,,,,,"DL Cat. 6, 7","DL Cat. 9, 10","DL Cat. 11, 12",
CA with 2CCs,2x20,20,20,-,-,3,3,1,1,-,-
,10+20,10,20,-,-,3,3,2,2,-,-
,15+20,15,20,-,-,3,3,2A,2A,-,-
,10+10,10,10,-,-,3,3,3,3,-,-
CA with 3CCs,3x20,20,2x20,-,-,-,-,1,4,4,-
,15+20+20,15,2x20,-,-,-,-,2A,5,5,-
,10+20+20,10,2x20,-,-,-,-,2,6,6,-
,3x20,2x20,20,-,-,-,-,1,7,7,-
,20+20+15,20+15,20,-,-,-,-,1,8,8,-
,20+20+10,20+10,20,-,-,-,-,1,9,9,-
,20+10+10,2x10,20,-,-,-,-,2,9A,9A,-
,10+15+20,10,15+20,,,,,2,9B,9B,
,10+15+20,10+15,20,,,,,2A,9C,9C,
CA with 4CCs,4x20,20,3x20,-,-,-,-,-,4,10,10
,4x20,2×20,2×20,-,-,-,-,-,4 or 7,11,11
,3x20+15,20+15,2×20,-,-,-,-,-,4,12,12
,2×15+2x20,2×15,2x20,-,-,-,-,-,5,13,13
,3x20+15,2×20+15,20,-,-,-,-,-,7,14,14
,2×15+2x20,2x15+20,20,-,-,-,-,-,8,15,15
,3x20+10,2x20+10,20,-,-,-,-,-,7,15A,15A
,4x20,2x15+20,20,-,-,-,-,-,8,15B,15B
,10+3x20,10,3x20,,,,,,6,15C,15C
,2x10+2x20,2x10,2x20,,,,,,6,15D,15D
,2x10+20+15,2x10,20+15,,,,,,9A,15E,15E
,10+3x20,10+20,2x20,,,,,,4,15F,15F
,10+15+2x20,10+15,2x20,,,,,,5,15G,15G
,10+15+2x20,10+15+20,20,,,,,,8,15H,15H
CA with 5 CCs,4x20+15,2x20+15,2x20,-,-,-,-,-,-,11,16
,2x15+3x20,2x15+20,2x20,-,-,-,-,-,-,12,17
,4x20+20,4x20,20,,,,,,,,18
,3x20+2x20,3x20,2x20,,,,,,,,19
,2x20+3x20,2x20,3x20,,,,,,,,20
,20+4x20,20,4x20,,,,,,,,21
,10+4x20,10,4x20,,,,,,,,22
,10+20+3x20,10+20,3x20,,,,,,,,23
,2x10+3x20,2x10,3x20,,,,,,,,24
,10+2×20+2×20,10+2x20,2x20,,,,,,,,25
,10+15+20+2x20,10+15+20,2x20,,,,,,,,26
CA with 6 CCs,20+5x20,20,5x20,,,,,,,27,27
,2x20+4x20,2x20,4x20,,,,,,,28,28
CA with 7 CCs,20+6x20,20,6x20,,,,,,,29,29
,2x20+5x20,2x20,5x20,,,,,,,30,30
"Note 1:Void.Note 2:Void.Note 3:If DL category is signalled by the UE under test, then select the test point according to UE DL Category. Otherwise, select the test point according to the UE category signalled.",,,,,,,,,,,
