Test number,Bandwidth combination (MHz)
1,3x20
2,20+20+15
3,20+20+10
4,20+15+15
5,20+15+10
6,20+10+10
7,15+15+10
8,20+10+5
9,20+15+5
10,10+10+5
11,5+5+20
12,3x10
13,5+5+10
"Note 1: The applicability of requirements for different CA configurations and bandwidth combination sets is defined in 9.1.1.2. The test coverage for different number of component carriers is defined in 9.1.1.3.Note 2: If more than one cell can be configured as PCell, choose one of the cells with the smallest bandwidth as PCell. Mapping of PCell and Scells to the CCs shall be constant for all the iterations during the test. Each execution of the test shall use the same mapping.",
