Test number,Aggregated Bandwidth (MHz),,,Minimum performance requirement,UE Category
,Total,FDD CC,TDD CC,,
1,4x20,20,3x20,As defined in Table 8.2.3.5.1-2 and Table 8.2.3.5.1-3 per CC,≥8
2,4x20,2×20,2×20,As defined in Table 8.2.3.5.1-2 and Table 8.2.3.5.1-3 per CC,≥8
3,3x20+15,20+15,2×20,As defined in Table 8.2.3.5.1-2 and Table 8.2.3.5.1-3 per CC,≥8
4,2×15+2x20,2×15,2x20,As defined in Table 8.2.3.5.1-2 and Table 8.2.3.5.1-3 per CC,≥8
5,3x20+15,2×20+15,20,As defined in Table 8.2.3.5.1-2 and Table 8.2.3.5.1-3 per CC,≥8
6,2×15+2x20,2x15+20,20,As defined in Table 8.2.3.5.1-2 and Table 8.2.3.5.1-3 per CC,≥8
7,3x20+10,2x20+10,20,As defined in Table 8.2.3.5.1-2 and Table 8.2.3.5.1-3 per CC,≥8
8,4x20,3x20,20,As defined in Table 8.2.3.5.1-2 and Table 8.2.3.5.1-3 per CC,≥8
9,10+3x20,10,3x20,As defined in Table 8.2.3.5.1-2 and Table 8.2.3.5.1-3 per CC,≥8
10,2x10+2x20,2x10,2x20,As defined in Table 8.2.3.5.1-2 and Table 8.2.3.5.1-3 per CC,≥8
11,2x10+20+15,2x10,20+15,As defined in Table 8.2.3.5.1-2 and Table 8.2.3.5.1-3 per CC,≥8
12,10+3x20,10+20,2x20,As defined in Table 8.2.3.5.1-2 and Table 8.2.3.5.1-3 per CC,≥8
13,10+15+2x20,10+15,2x20,As defined in Table 8.2.3.5.1-2 and Table 8.2.3.5.1-3 per CC,≥8
14,10+15+2x20,10+15+20,20,As defined in Table 8.2.3.5.1-2 and Table 8.2.3.5.1-3 per CC,≥8
NOTE:The applicability of requirements for different CA configurations and bandwidth combination sets is defined in clause 8.1.2.3B.,,,,,
