Parameter,,Unit,Test 1
Downlink power allocation,,dB,0
,,dB,0 (Note 1)
,,dB,-3
Cell-specific reference signals,,,Antenna ports 0 and 1
CSI reference signals,,,"Antenna ports 15,16"
DMRS ports (dual layer transmission),,,port 7 and port 8
Beamforming model,,,Annex B.4.2
CSI-RS periodicity and subframe offset          TCSI-RS / ∆CSI-RS,,Subframes,5/4
CSI reference signal configuration,,,8
Zero-power CSI-RS configurationICSI-RS /       ZeroPowerCSI-RS bitmap,,Subframes / bitmap,4/0010000000000000
at antenna port,,dBm/15kHz,-98
Symbols for unused PRBs,,,OCNG (Note 2)
PDSCH transmission mode,,,9
DL Burst transmission pattern for LAA SCell,,,As specified in B.8
The number of subframes set (S1) in a burst,,,"{1,3,5,8}"
Occupied OFDM symbols set in the last subframe,,,"{6,9,12,14}"
Random variable p defined in B.8,,,0.5
Timing error relative of LAA SCell to PCell,,μs,0
Frequency offset of th i-th LAA SCell relative to PCell,,Hz,200
"Note 1:Note 2:These physical resource blocks are assigned only within burst transmissions to a LAA UE; the data transmitted over the OCNG PDSCHs shall be uncorrelated pseudo random data, which is QPSK modulated.",,,
