Parameter,,Unit,Test 1,Test 1a
Bandwidth,,MHz,10,10
Transmission mode,,,9,9
Propagation channel,,,EPA5,EPA5
Precoding granularity,,PRB,50,50
Correlation and antenna configuration,,,ULA Low 4 x 2,ULA Low 4 x 2
Beamforming model,,,Annex B.4.3,Annex B.4.3
Cell-specific reference signals,,,"Antenna ports 0,1","Antenna ports 0,1"
CSI reference signals,,,"Antenna ports15,…,18","Antenna ports15,…,18"
FrequencyDensityBeamformed,,,1,1/2
NZP-TransmissionCombBeamformed,,,N/A,0
CSI-RS periodicity and subframe offsetTCSI-RS / ∆CSI-RS,,,5/ 1,5/ 1
CSI-RS reference signal configuration,,,6,6
eMIMO-Type,,,Class B,Class B
alternativeCodebookEnabledCLASSB_K1,,,TRUE,TRUE
codebookSubsetRestriction-3,,,00 0000 0000 0000 1111 1111,00 0000 0000 0000 1111 1111
Downlink power allocation,,dB,0,0
,,dB,0,0
,Pc,dB,-6,-6
,,dB,-3,-3
,,dB[mW/15kHz],-98,-98
Reporting mode,,,PUCCH 1-1,PUCCH 1-1
Reporting interval,,ms,5,5
PMI delay (Note 2),,ms,10,10
Physical channel for CQI/PMI reporting,,,PUSCH (Note 3),PUSCH (Note 3)
PUCCH Report Type for CQI/PMI,,,2,2
Physical channel for RI reporting,,,PUSCH,PUSCH
PUCCH Report Type for RI,,,3,3
cqi-pmi-ConfigurationIndex,,,2,2
ri-ConfigIndex,,,1,1
Measurement channel,,,R.45 FDD,R.45A-2 FDD
Rank number of PDSCH,,,1,1
OCNG Pattern,,,OP.1 FDD,OP.1 FDD
Max number of HARQ transmissions,,,4,4
Redundancy version coding sequence,,,"{0,1,2,3}","{0,1,2,3}"
"Note 1:For random precoder selection, the precoder shall be updated in each TTI (1 ms granularity).Note 2:If the UE reports in an available uplink reporting instance at subrame SF#n based on PMI estimation at a downlink SF not later than SF#(n-4), this reported PMI cannot be applied at the eNB downlink before SF#(n+4).Note 3:To avoid collisions between CQI/PMI reports and HARQ-ACK it is necessary to report both on PUSCH instead of PUCCH.Note 4:PDSCH_RA= 0 dB, PDSCH_RB= 0 dB in order to have the same PDSCH and OCNG power per subcarrier at the receiver.",,,,
