Parameter,,,Unit,Test 1,Test 2-3
Downlink power allocation,,,dB,0,0
,,,dB,0 (Note 1),0 (Note 1)
,,,dB,0,0
at antenna port,,,dBm/15kHz,Off (Note 2),Off (Note 2)
Symbols for unused PRBs,,,,OCNG (Note 3),OCNG (Note 3)
Modulation,,,,64 QAM,64 QAM
Maximum number of HARQ transmission,,,,1,1
Redundancy version coding sequence,,,,{0},{0}
PDSCH transmission mode of PCell,,,,1,3
PDSCH tramsmission mode of SCell,,,,3,1
OCNG Pattern,,PCell,,OP.1 FDD,OP.5 FDD
,,SCell,,OP.5 FDD,OP.1 FDD
Propagation Conditions,,PCell,,Clause B.1,Clause B.1
,,SCell,,Clause B.1,Clause B.1
Correlation Matrix and Antenna,,PCell,,1x2,2x2
,,SCell,,2x2,1x2
Note 1: for 1x2 and  for 2x2 antenna configuration.Note 2: No external noise sources are appliedNote 3:These physical resource blocks are assigned to an arbitrary number of virtual UEs with one PDSCH per virtual UE; the data transmitted over the OCNG PDSCHs shall be uncorrelated. pseudo random data.Note 4:Void,,,,,
