Test,Bandwidth (MHz),Transmission mode,Antenna configuration,Codebook subset restriction,Downlink power allocation (dB),,,at antenna port (dBm/15kHz),Symbols for unused PRBs
,,,,,,,,,
1,20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
2,2x15,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
2A,15+5,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
3,10+15,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
3A,20+5,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
4,10+20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
6,15+20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
7,2x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
8,3x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
9,15+20+20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
10,10+20+20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
11,15+15+20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
12,10+15+20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
13,10+10+20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
14,10+15+15,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
15,5+10+20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
15A,5+15+20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
15B,5+10+10,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
15C,5+5+20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
15D,3x10,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
15E,5+5+10,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
16,4x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
17,20+20+20+10,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
18,20+20+10+10,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
18A,20+20+10+5,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
18B,20+10+10+5,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
18C,15+3x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
18D,2x15+2x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
18E,10+15+2x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
18F,3x10+20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
18G,2x5+2x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
18H,2x5+10+20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
18I,4x10,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
19,5x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
19A,15+4x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
19B,10+4x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
19C,2x10+3x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
19D,5+10+3x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
19E,3x10+2x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
19F,4x10+20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
20,6x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
21,7x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
"Note 1:For CA test cases, PUCCH format 3 is used to feedback ACK/NACK.",,,,,,,,,
