Test number,Bandwidth,Reference Channel,OCNG Pattern,Propagation Condition,Correlation Matrix and Antenna Configuration,Reference value,,UE Category
,,,,,,Fraction of MaximumThroughput (%),SNR (dB),
1,10 MHz,R.2 TDD,OP.1 TDD,EVA5,1x2 Low,70,-1.2,≥1
2,10 MHz,R.2 TDD,OP.1 TDD,ETU70,1x2 Low,70,-0.6,≥1
3,10 MHz,R.2 TDD,OP.1 TDD,ETU300,1x2 Low,70,-0.2,≥1
4,10 MHz,R.2 TDD,OP.1 TDD,HST,1x2,70,-2.6,≥1
5,1.4 MHz,R.4 TDD,OP.1 TDD,EVA5,1x2 Low,70,0.0,≥1
6,10 MHz,R.3 TDD,OP.1 TDD,EVA5,1x2 Low,70,6.7,≥2
,5 MHz,R.3-1 TDD,OP.1 TDD,EVA5,1x2 Low,70,6.7,1
7,10 MHz,R.3 TDD,OP.1 TDD,ETU70,1x2 Low,30,1.4,≥2
,5 MHz,R.3-1 TDD,OP.1 TDD,ETU70,1x2 Low,30,1.4,1
8,10 MHz,R.3 TDD,OP.1 TDD,ETU300,1x2 High,70,9.3,≥2
,5 MHz,R.3-1 TDD,OP.1 TDD,ETU300,1x2 High,70,9.3,1
9,3 MHz,R.5 TDD,OP.1 TDD,EVA5,1x2 Low,70,17.6,≥1
10,5 MHz,R.6 TDD,OP.1 TDD,EVA5,1x2 Low,70,17.6,≥2
,5 MHz,R.6-1 TDD,OP.1 TDD,EVA5,1x2 Low,70,17.6,1
11,10 MHz,R.7 TDD,OP.1 TDD,EVA5,1x2 Low,70,17.6,≥2
,10 MHz,R.7-1 TDD,OP.1 TDD,EVA5,1x2 Low,70,17.6,1
12,10 MHz,R.7 TDD,OP.1 TDD,ETU70,1x2 Low,70,19.1,≥2
,10 MHz,R.7-1 TDD,OP.1 TDD,ETU70,1x2 Low,70,19.1,1
13,10 MHz,R.7 TDD,OP.1 TDD,EVA5,1x2 High,70,19.1,≥2
,10 MHz,R.7-1 TDD,OP.1 TDD,EVA5,1x2 High,70,19.1,1
14,15 MHz,R.8 TDD,OP.1 TDD,EVA5,1x2 Low,70,17.8,≥2
,15 MHz,R.8-1 TDD,OP.1 TDD,EVA5,1x2 Low,70,17.8,1
15,20 MHz,R.9 TDD,OP.1 TDD,EVA5,1x2 Low,70,17.7,≥3
,20 MHz,R.9-2 TDD,OP.1 TDD,EVA5,1x2 Low,70,17.7,2
,20 MHz,R.9-1 TDD,OP.1 TDD,EVA5,1x2 Low,70,17.7,1
16,3 MHz,R.0 TDD,OP.1 TDD,ETU70,1x2 Low,30,2.1,≥1
17,10 MHz,R.1 TDD,OP.1 TDD,ETU70,1x2 Low,30,2.0,≥1
18,20 MHz,R.1 TDD,OP.1 TDD,ETU70,1x2 Low,30,2.1,≥1
19,10 MHz,R.41 TDD,OP.1 TDD,EVA5,1x2 Low,70,-5.3,≥1
Note 1:Void.,,,,,,,,
