Parameter,Unit,Test 1,
Bandwidth,kHz,200,
Operation mode,,Stand-alone,
Uplink downlink configuration (Note 4),,4,
Special subframe configuration (Note 5),,4,
Carrier type,,Non-anchor,
Number of NRS ports,,1,
Propagation condition and antenna configuration,,AWGN (1 x 1),
SNR (Note 2),dB,10,11
Ior(j),dB[mW/15kHz],-88,-87
Noc(j),dB[mW/15kHz],-98,-98
Max number of HARQ transmissions,,1,
NPDCCH repetition number,subframe,1,
Rmax (npdcch-NumRepetitions-r13),subframe,4,
G (nPDCCH-startSF-USS-r13),subframe,2,
Scheduling delay field (IDelay),,1,
(ack-NACK-NumRepetitions-r13)NRepAN,,1,
ACK/NACK resource field,,0,
NPDCCH reference channel,,R.NB.3 TDD,
(npdcch-Offset-USS-r13)αoffset,,0,
CQI reporting period,ms,80,
NPDSCH repetition number,subframe,1,
Resource assignment field (ISF) (Note 6),,3,
downlinkBitmap-r13 and dl-Gap-r13,,Not configured,
dl-GapNonAnchor-r13 and downlinkBitmapNonAnchor-r13,,Not configured,
OCNG pattern,,NB.OP.1,
"Note 1:Reference measurement channel RC.33 TDD according to Table A.4-1 with one sided dynamic OCNG Pattern NB.OP.1 TDD as described in Annex A.5.3.1. For the subframes the reference measurement channel is not scheduled, NRS is transmitted with OCNG pattern NB.OP.1 TDD.Note 2:The minimum requirements shall be fulfilled for at least one of the two SNR(s) and the respective wanted signal input level.Note 3:MAC CE Downlink Channel Quality Report Command is triggered every 80 subframes, where NPDCCH scheduling MAC CE (NPDSCH) is transmitted in subframe n. UL grant is transmitted in subframe n+40. Note 4:As specified in Table 4.2-2 in TS 36.211 [4].Note 5:As specified in Table 4.2-1 in TS 36.211 [4].Note 6:Set the number of subframes (NSF) for NPDSCH to 4 for NPDSCH transmitting MAC CE Downlink Channel Quality Report Command.",,,
