Parameter,,Unit,Test 1,,Test 2,
Bandwidth,,MHz,10 MHz,,,
Transmission mode,,,9,,,
Downlink power allocation,,dB,0,,,
,,dB,0,,,
,,dB,-3,,,
,,dB,-3,,,
SNR (Note 3),,dB,2,3,7,8
,,dB[mW/15kHz],-96,-95,-91,-90
,,dB[mW/15kHz],-98,,-98,
Propagation channel,,,EPA5,,,
Correlation and antenna configuration,,,ULA High (4 x 2),,,
Beamforming Model,,,As specified in Section B.4.3,,,
Cell-specific reference signals,,,"Antenna ports 0,1",,,
CSI reference signals,,,"Antenna ports 15,…,18",,,
CSI-RS periodicity and subframe offsetTCSI-RS / ∆CSI-RS,,,5/1,,,
CSI-RS reference signal configuration,,,2,,,
CodeBookSubsetRestriction bitmap,,,0x0000 0000 0000 0001,,,
Reporting mode,,,PUCCH 1-1,,,
Reporting periodicity,,ms,Npd = 5,,,
CQI delay,,ms,8,,,
Physical channel for CQI/ PMI reporting,,,PUSCH (Note 4),,,
PUCCH Report Type for CQI/PMI,,,2,,,
PUCCH channel for RI reporting,,,PUCCH Format 2,,,
PUCCH report type for RI,,,3,,,
cqi-pmi-ConfigurationIndex,,,2,,,
ri-ConfigIndex,,,1,,,
Max number of HARQ transmissions,,,1,,,
"Note 1:If the UE reports in an available uplink reporting instance at subframe SF#n based on CQI estimation at a downlink SF not later than SF#(n-4), this reported wideband CQI cannot be applied at the eNB downlink before SF#(n+4)Note 2:Reference measurement channel RC.7 FDD according to Table A.4-1 with one sided dynamic OCNG Pattern OP.1 FDD as described in Annex A.5.1.1.Note 3:For each test, the minimum requirements shall be fulfilled for at least one of the two SNR(s) and the respective wanted signal input level.Note 4:To avoid collisions between CQI/ PMI reports and HARQ-ACK it is necessary to report both on PUSCH instead of PUCCH. PDCCH DCI format 0 shall be transmitted in downlink SF#1 and #6 to allow periodic CQI/ PMI to multiplex with the HARQ-ACK on PUSCH in uplink subframe SF#0 and #5.",,,,,,
