Parameter,Unit,Value
Cyclic prefix,,Normal
Cell ID,,0
Inter-TTI Distance,,1
Number of HARQ processes per component carrier,Processes,8
Maximum number of HARQ transmission,,4
Redundancy version coding sequence,,"{0,0,1,2} for 64QAM"
Number of OFDM symbols for PDCCH per component carrier,OFDM symbols,1
Cross carrier scheduling,,Not configured
Number of EPDCCH sets,,1
EPDCCH transmission type,,Localized
Number of PRB per EPDCCH set and EPDCCH PRB pair allocation,,"2 PRB pairs10MHz BW: Resource blocks nPRB = 48, 4915MHz BW: Resource blocks nPRB = 70, 7120MHz BW: Resource blocks nPRB = 98, 99"
EPDCCH Starting Symbol,,Derived from CFI (i.e. default behaviour)
ECCE Aggregation Level,,2 ECCEs
Number of EREGs per ECCE,,4
EPDCCH scheduling,,EPDCCH candidate is randomly assigned in each subframe
EPDCCH precoder (Note 1),,Fixed PMI 0
EPDCCH monitoring SF pattern,,1111111111 00000000001111111111 0000000000
Timing advance,μs,100
Propagation condition,,Static propagation conditionNo external noise sources are applied
Note 1: EPDCCH precoder parameters are defined for tests with 2 x 2 antenna configuration,,
