Parameter,,Unit,Value
Uplink downlink configuration (Note 1) for TDD CC only,,,1
Special subframe configuration (Note 2) for TDD CC only,,,4
Inter-TTI Distance,,,1
Maximum number of HARQ processes per component carrier,FDD PCell,Processes,8 for FDD and TDD CCs
,TDD PCell,Processes,11 for FDD CC; 7 for TDD CC
Maximum number of HARQ transmission,,,4
Redundancy version coding sequence,,,"{0,1,2,3} for QPSK and 16QAM{0,0,1,2} for 64QAM"
Number of OFDM symbols for PDCCH per component carrier,,OFDM symbols,"4 for 1.4 MHz bandwidth, 3 for 3 MHz and 5 MHz bandwidths,2 for 10 MHz, 15 MHz and 20 MHz bandwidths"
Cyclic Prefix,,,Normal
Cell_ID,,,0
Cross carrier scheduling,,,Not configured
ACK/NACK feedback mode,,,PUCCH format 3
Downlink HARQ-ACK timing,FDD PCell,,As specified in Clause 7.3.3 in TS36.213 [6]
,TDD PCell,,As specified in Clause 7.3.4 in TS36.213 [6]
Note 1:as specified in Table 4.2-2 in TS 36.211 [4].Note 2:as specified in Table 4.2-1 in TS 36.211 [4].,,,
