Parameter,,Unit,Test 1
Bandwidth,,MHz,10
Transmission mode,,,9
Uplink downlink configuration,,,1
Special subframe configuration,,,4
Propagation channel,,,EVA5
Precoding granularity(only for reporting and following PMI),,PRB,6
Antenna configuration,,,8 x 2
Correlation modeling,,,"High, Cross polarized"
Cell-specific reference signals,,,"Antenna ports 0,1"
CSI reference signals,,,"Antenna ports15,…,22"
Beamforming model,,,Annex B.4.3
CSI-RS periodicity and subframe offsetTCSI-RS / ∆CSI-RS,,,5/ 4
CSI-RS reference signal configuration,,,4
CodeBookSubsetRestriction bitmap,,,0x0000 0000 001F FFE0 0000 0000 FFFF
Downlink power allocation,,dB,0
,,dB,0
,Pc,db,-6
,,dB,-3
,,dB[mW/15kHz],-98
Reporting mode,,,PUSCH 1-2
Reporting interval,,ms,5 (Note 4)
PMI delay,,ms,10
Measurement channel,,,"R.45-1 TDD for UE Category 1, R.45 TDD for UE Category ≥2"
OCNG Pattern,,,OP.7 TDD for UE Category 1OP.1 TDD for UE Category ≥2
Max number of HARQ transmissions,,,4
Redundancy version coding sequence,,,"{0,1,2,3}"
ACK/NACK feedback mode,,,Multiplexing
"Note 1:For random precoder selection, the precoders shall be updated in each TTI (1 ms granularity).Note 2:If the UE reports in an available uplink reporting instance at subrame SF#n based on PMI estimation at a downlink SF not later than SF#(n-4), this reported PMI cannot be applied at the eNB downlink before SF#(n+4).Note 3:Void.Note 4:PDCCH DCI format 0 with a trigger for aperiodic CQI shall be transmitted in downlink SF#4 and #9 to allow aperiodic CQI/PMI/RI to be transmitted on uplink SF#3 and #8.Note 5: Randomization of the principle beam direction shall be used as specified in B.2.3A.4.",,,
