parameter,,,Unit,TP 1,TP 2,TP 3
Downlink power allocation,,,dB,0,0,0
,,,dB,0 (Note 1),0,0
,,,dB,-3,-3,-3
Beamforming model,,,,N/A,Port 7 as specified in clause B.4.1,N/A
Cell-specific reference signals,,,,"Antenna ports 0,1","Antenna ports 0,1","Antenna ports 0,1"
CSI reference signals 0,,,,N/A,"Antenna ports {15,16}",N/A
CSI-RS 0 periodicity and subframe offset TCSI-RS / ∆CSI-RS,,,Subframes,N/A,5 / 4,N/A
CSI reference signal 0 configuration,,,,N/A,0,N/A
Zero-power CSI-RS 0 configurationICSI-RS /ZeroPower CSI-RS bitmap,,,Subframes/bitmap,N/A,4/0010000000000000,N/A
,,,dB,10.45,Reference Value in Table 8.3.2.4.4-3,8.45
at antenna port,,,dBm/15kHz,-98,-98,N/A
BWChannel,,,MHz,10,10,10
Cyclic Prefix,,,,Normal,Normal,Normal
Cell Id,,,,0,1,128
Number of control OFDM symbols,,,,1,2,2
Timing offset to TP 1,,,us,N/A,-0.5,3
Frequency offset to TP 1,,,Hz,N/A,200,-100
"qcl-Operation, ‘PDSCH RE Mapping and Quasi-Co-Location Indicator’",,,,"Type B, ‘00’",,N/A
PDSCH transmission mode,,,,Blank,10,9
Number of allocated resource block,,,,N/A,50,N/A
Symbols for unused PRBs,,,,N/A,OCNG(Note2),N/A
Interference model,,,,N/A,N/A,As specified in clause B.5.4
Probability of occurrence of transmission in interference cells,,,%,N/A,N/A,20
Probability of occurrence of transmission rank in interfering cells,Rank 1,,%,N/A,N/A,80
,Rank 2,,%,N/A,N/A,20
"Note 1:Note 2:These physical resource blocks are assigned to an arbitrary number of virtual UEs with one PDSCH per virtual UE; the data transmitted over the OCNG PDSCHs shall be uncorrelated pseudo random data, which is QPSK modulated.",,,,,,
