Parameter,,Unit,Test 1,Test 2,Test 3
Bandwidth,,MHz,10,10,10
Transmission mode,,,9,9,9
Propagation channel,,,EPA5,EPA5,EPA5
Precoding granularity,,PRB,50,50,50
Correlation and antenna configuration,,,LowULA 4 x 2,LowULA 4 x 2,LowULA 4 x 2
Cell-specific reference signals,,,"Antenna ports 0,1","Antenna ports 0,1","Antenna ports 0,1"
CSI reference signals,,,"Antenna ports15,…,18","Antenna ports15,…,18","Antenna ports15,…,18"
Beamforming model,,,Annex B.4.3,AnnexB.4.3,AnnexB.4.3
FrequencyDensityBeamformed,,,N/A,1,1
NZP-TransmissionCombBeamformed,,,N/A,N/A,N/A
csi-RS-NZP-mode,,,N/A,aperiodic,multiShot
NumberActivatedAperiodicCSI-RS-Resources,,,N/A,1,NA
CSI-RS-ConfigNZPAperiodic,,,N/A,"6,7         (Note 4)",NA
NumberActivatedCSI-RS-Resources,,,N/A,NA,1
eMIMO-Type,,,N/A,ClassB,ClassB
alternativeCodebookEnabledCLASSB_K1,,,N/A,FALSE,FALSE
CSI-RS periodicity and subframe offsetTCSI-RS / ∆CSI-RS,,,5/ 1,N/A,5/ 1
CSI-RS reference signal configuration,,,6,N/A,"6,7 (Note 5,6)"
CodeBookSubsetRestriction bitmap,,,0x0000 0000 0000 FFFF,0x0000 0000 0000 FFFF,0x0000 0000 0000 FFFF
Downlink power allocation,,dB,0,0,
,,dB,0,0,
,Pc,dB,-3,-3,
,,dB,-3,-3,
,,dB[mW/15kHz],-98,-98,-98
Reporting mode,,,PUSCH 3-1,PUSCH 3-1,PUSCH 3-1
Reporting interval,,ms,5,5,5
PMI delay (Note 2),,ms,8,8,8
Measurement channel,,,R.44 FDD,R.44 FDD,R.44 FDD
OCNG Pattern,,,OP.1 FDD,OP.1 FDD,OP.1 FDD
Max number of HARQ transmissions,,,4,4,4
Redundancy version coding sequence,,,"{0,1,2,3}","{0,1,2,3}","{0,1,2,3}"
"Note 1:For random precoder selection, the precoder shall be updated in each TTI (1 ms granularity).Note 2:If the UE reports in an available uplink reporting instance at subrame SF#n based on PMI estimation at a downlink SF not later than SF#(n-4), this reported PMI cannot be applied at the eNB downlink before SF#(n+4).Note 3:PDSCH _RA= 0 dB, PDSCH_RB= 0 dB in order to have the same PDSCH and OCNG power per subcarrier at the receiver.Note 4:Only one of these two aperiodic NZP CSI-RS resources will be randomly seleted and activated during test .The selected aperiodic NZP CSI-RS is transmitted in every subframe #1 and #6.  Note 5:Through MAC CE, one of these two periodic NZP CSI-RS resources will be activated and the other one will be deactivated in an alternative way. The activation and deactivation command will be transmitted in sub-frame #0 per [10000] ms.Note 6:When activation and/or deactivation command through MAC CE is transmitted at subframe n, the scheduled PDSCH transmission will be skiped for the subsequent 25 subframes.",,,,,
