Parameter,,Unit,Test 1,,Test 2,
Bandwidth,,MHz,10,,,
PDSCH transmission mode,,,9,,,
Downlink power allocation,,dB,0,,,
,,dB,0,,,
,,dB,-3,,,
,,dB,-3,,,
Cell-specific reference signals,,,"Antenna ports 0, 1",,,
CSI reference signals,,,"Antenna ports 15,…,18",,,
CSI-RS periodicity and subframe offsetTCSI-RS / ∆CSI-RS,,,5/1,,,
CSI reference signal configuration,,,0,,,
Propagation condition and antenna configuration,,,Clause B.1 (4 x 4),,,
Beamforming Model,,,As specified in Section B.4.3,,,
CodeBookSubsetRestriction bitmap,,,0x0000 0020 0000 0000,,,
SNR (Note 2),,dB,5,6,11,12
,,dB[mW/15kHz],-93,-92,-87,-86
,,dB[mW/15kHz],-98,,-98,
Max number of HARQ transmissions,,,1,,,
Physical channel for CQI/PMI reporting,,,PUSCH (Note3),,,
PUCCH Report Type for CQI/PMI,,,2,,,
Physical channel for RI reporting,,,PUCCH Format 2,,,
PUCCH Report Type for RI,,,3,,,
Reporting periodicity,,ms,Npd = 5,,,
CQI delay,,ms,8,,,
cqi-pmi-ConfigurationIndex,,,2,,,
ri-ConfigIndex,,,1,,,
"Note 1:Reference measurement channel RC.22 FDD according to Table A.4-1 with one sided dynamic OCNG Pattern OP.1 FDD as described in Annex A.5.1.1.Note 2:For each test, the minimum requirements shall be fulfilled for at least one of the two SNR(s) and the respective wanted signal input level.Note 3:To avoid collisions between CQI/PMI reports and HARQ-ACK it is necessary to report both on PUSCH instead of PUCCH. PDCCH DCI format 0 shall be transmitted in downlink SF#1 and #6 to allow periodic CQI/PMI to multiplex with the HARQ-ACK on PUSCH in uplink SF#0 and #5.",,,,,,
