Band-width,Reference channel,,OCNG pattern,Propa-gation condi-tion,Correlation matrix and antenna config.,,Reference value,,
,,,,,,,Fraction of maximum throughput (%),SNR (dB),
,2Rx CC,4Rx CC,,,2Rx CC,4Rx CC,,2Rx CC,4Rx CC
1.4MHz,R.14-4 FDD,R.14-4 FDD,OP.1 FDD,EVA5,4x2 Low,4x4 Low,70,10.4,7.5
3MHz,R.14-5 FDD,R.14-5 FDD,OP.1 FDD,EVA5,4x2 Low,4x4 Low,70,9.5,5.1
5MHz,R.14-6 FDD,R.14-6 FDD,OP.1 FDD,EVA5,4x2 Low,4x4 Low,70,9.5,5.2
10 MHz,R.14 FDD,R.14 FDD,OP.1 FDD,EVA5,4x2 Low,4x4 Low,70,10.1,5.7
15MHz,R.14-7 FDD,R.14-7 FDD,OP.1 FDD,EVA5,4x2 Low,4x4 Low,70,10.1,5.6
20MHz,R.14-3 FDD,R.14-3 FDD,OP.1 FDD,EVA5,4x2 Low,4x4 Low,70,10.3,5.6
