Parameter,,Unit,Test 1,,,Test 2,,
,,,TP1,TP2,,TP1,TP2,
Bandwidth,,MHz,10,,,,,
PDSCH transmission mode,,,10,,,,,
Downlink power allocation (Note 1),,dB,0,0,,0,0,
,,dB,0,0,,0,0,
,Pc,dB,-3,-3,,-3,-3,
,,dB,-3,N/A,,-3,N/A,
Cell ID,,,0,,,0,,
Cell-specific reference signals,,,"Antenna ports 0, 1",(Note 2),,"Antenna ports 0, 1",(Note 2),
CSI reference signals,,,"Antenna ports 15,…,18",N/A,,"Antenna ports 15,…,18",N/A,
CSI-RS periodicity and subframe offset  TCSI-RS / ∆CSI-RS,,,5/1,N/A,,5/1,N/A,
CSI-RS configuration,,,0,N/A,,0,N/A,
Zero-Power CSI-RS configurationICSI-RS / ZeroPowerCSI-RS bitmap,,,1 /0010000000000000,1 / 1000000000000000,,1 /0010000000000000,1 / 1000000000000000,
CSI-IM configurationICSI-RS / ZeroPowerCSI-RS bitmap,,,1 /0010000000000000,N/A,,1 /0010000000000000,N/A,
CSI process configurationSignal/Interference/Reporting mode,,,CSI-RS/CSI-IM/PUCCH 1-1,,,CSI-RS/CSI-IM/PUCCH 1-1,,
Propagation condition and antenna configuration,,,Clause B.1 (4 x 2),Clause B.1 (2 x 2),,Clause B.1 (4 x 2),Clause B.1 (2 x 2),
CodeBookSubsetRestriction bitmap,,,0x0000 0000 0100 0000,100000,,0x0000 0000 0100 0000,100000,
SNR (Note 3),,dB,20,6,7,20,14,15
,,dB[mW/15kHz],-78,-92,-91,-78,-84,-83
,,dB[mW/15kHz],-98,,,-98,,
Modulation / Information bit payload,,,(Note4),QPSK / 4392,,(Note4),QPSK / 4392,
Max number of HARQ transmissions,,,1,N/A,,1,N/A,
Physical channel for CQI/PMI reporting,,,PUSCH (Note5),N/A,,PUSCH (Note5),N/A,
PUCCH Report Type for CQI/PMI,,,2,N/A,,2,N/A,
PUCCH Report Type for RI,,,3,N/A,,3,N/A,
Reporting periodicity,,ms,Npd = 5,N/A,,Npd = 5,N/A,
CQI Delay,,ms,8,N/A,,8,N/A,
cqi-pmi-ConfigurationIndex,,,2,N/A,,2,N/A,
ri-ConfigIndex,,,1,N/A,,1,N/A,
PDSCH scheduled sub-frames,,,"1,2,3,4,6,7,8,9",,,"1,2,3,4,6,7,8,9",,
Timing offset between TPs,,us,0,,,0,,
Frequency offset between TPs,,Hz,0,,,0,,
"Note1:Reference measurement channel RC.10 FDD according to Table A.4-1 with one sided dynamic OCNG Pattern OP.1 FDD as described in Annex A.5.1.1.Note 2:REs for antenna ports 0 and 1 CRS have zero transmission power.Note 3:For each test, the minimum requirements shall be fulfilled for at least one of the two SNR(s) and the respective wanted signal input level.Note 4:N/A.Note 5:To avoid collisions between CQI/PMI reports and HARQ-ACK it is necessary to report both on PUSCH instead of PUCCH. PDCCH DCI format 0 shall be transmitted in downlink SF#1 and #6 to allow periodic CQI/PMI to multiplex with the HARQ-ACK on PUSCH in uplink SF#0 and #5.",,,,,,,,
