Parameter,,Unit,Test 1,,Test 2,
Bandwidth,,MHz,10 MHz,,,
Transmission mode,,,9,,,
Downlink power allocation,,dB,0,,,
,,dB,0,,,
,,dB,0,,,
,,dB,0,,,
SNR (Note 3),,dB,4,5,11,12
,,dB[mW/15kHz],-94,-93,-87,-86
,,dB[mW/15kHz],-98,,-98,
Propagation channel,,,"Clause B.2.4 with s, a = 1, Hz",,,
Antenna configuration,,,2x2,,,
Beamforming Model,,,As specified in Section B.4.3,,,
CRS reference signals,,,Antenna ports 0,,,
CSI reference signals,,,"Antenna ports 15, 16",,,
CSI-RS periodicity and subframe offsetTCSI-RS / ∆CSI-RS,,,5/ 1,,,
CSI-RS reference signal configuration,,,4,,,
CodeBookSubsetRestriction bitmap,,,000001,,,
Reporting interval (Note 4),,ms,5,,,
CQI delay,,ms,8,,,
Reporting mode,,,PUSCH 3-1,,,
Sub-band size,,RB,6 (full size),,,
Max number of HARQ transmissions,,,1,,,
"Note 1:If the UE reports in an available uplink reporting instance at subframe SF#n based on CQI estimation at a downlink subframe not later than SF#(n-4), this reported subband or wideband CQI cannot be applied at the eNB downlink before SF#(n+4)Note 2:Reference measurement channel RC.8 FDD according to Table A.4-1 with one/two sided dynamic OCNG Pattern OP.1/2 FDD as described in Annex A.5.1.1/2.Note 3:For each test, the minimum requirements shall be fulfilled for at least one of the two SNR(s) and the respective wanted signal input level.Note 4:PDCCH DCI format 0 with a trigger for aperiodic CQI shall be transmitted in downlink SF#1 and #6 to allow aperiodic CQI/PMI/RI to be transmitted in uplink SF#0 and #5.",,,,,,
