Parameter,,Unit,Value
Uplink downlink configuration,,,2 (Note 2)
Special subframe configuration,,,4
Cyclic prefix,,,Normal
Cell ID,,,0
Inter-TTI Distance,,,1
Number of HARQ processes per component carrier,,Processes,7
Maximum number of HARQ transmission,,,4
Redundancy version coding sequence,,,"{0,0,1,2} for 64QAM and 256QAM"
Number of OFDM symbols for PDCCH per component carrier,,OFDM symbols,1
Cross carrier scheduling,,,Not configured
Propagation condition,,,Static propagation conditionNo external noise sources are applied
Transmission mode,,,TM3
Codebook subset restriction,,,10
Antenna configuration,,,2x2
at antenna port (dBm/15kHz),,,-85
Symbols for unused PRBs,,,OP.1 TDD
ACK/NACK feedback mode,,,Separate ACK/NACK feedbacks with PUCCH format 3 on the MCG and SCG
Time offset between MCG CC and SCG CC,,μs,0 for UE under test supporting synchronous dual connectivity;500 for UE under test supporting both asynchronous and synchrounous dual connectivity (Note 1)
Downlink power allocation,,dB,-3
,,dB,-3
,,dB,0
"Note 1:Asynchronous and synchrous dual connectivity are defined in TS36.300 [11].Note 2:If the UE supports both SCG bearer and Split bearer, the Split bearer is configured.",,,
