parameter,,Unit,Test 1,Test 2,Test 3
Downlink power allocation,,dB,0,0,0
,,dB,0 (Note 1),0 (Note 1),0 (Note 1)
,,dB,-3,-3,-3
,δ,dB,0,0,0
Beamforming model,,,Annex B.4.1,Annex B.4.1,Annex B.4.1
Cell-specific reference signals,,,"Antenna ports 0,1","Antenna ports 0,1","Antenna ports 0,1"
at antenna port,,dBm/15kHz,-98 (Note 6),-98 (Note 6),-98 (Note 6)
Symbols for unused PRBs,,,OCNG (Note 3),OCNG (Note 3),OCNG (Note 3)
Number of allocated resource blocks (Note 2),,PRB,6,6,6
Simultaneous transmission,,,No,No,No
PDSCH transmission mode,,,9,9,9
Coverage enhancement mode,,,CE Mode A,CE Mode A,CE Mode A
OFDM starting symbol (startSymbolBR),,,2,2,2
Maximum number of repetitions for PDSCH (pdsch-maxNumRepetitionCEmodeA),,,16,16,Not configured
PDSCH repetition number,,,8,4,2
Frequency hopping(mpdcch-pdsch-HoppingConfig),,,Enabled,Enabled,Enabled
Frequency hopping offset(mpdcch-pdsch-HoppingOffset),,,1,1,1
Frequency hopping interval(interval-FDD),,ms,8,2,1
MPDCCH transmission duration(mPDCCH-NumRepetition),,ms,8,2,1
MPDCCH repetition number,,,8,2,1
Number of narrowbands for frequency hopping (mpdcch-pdsch-HoppingNB),,,2,2,2
Starting subframe configuration for MPDCCH(mpdcch_startSF_UESS),,,4,8,10
Narrowband for MPDCCH(mpdcch_Narrowband),,,7,7,7
MPDCCH aggregation level,,,24,24,24
"Note 1:.Note 2:The modulation symbols of the signal under test are mapped onto antenna port 7 or 8.Note 3:These physical resource blocks are assigned to an arbitrary number of virtual UEs with one PDSCH per virtual UE; the data transmitted over the OCNG PDSCHs shall be uncorrelated pseudo random data, which is QPSK modulated.Note 4:For each test, DC subcarrier puncturing shall be considered.Note 5:If not otherwise stated, the values in this table refer to parameters in TS 36.211 [4] or/and TS 36.213 [6] as appropriate.",,,,,
