Test number,CA Bandwidth combination (MHz),,,Minimum performance requirement,UE Category
,Total,FDD CC,TDD CC,,
1,1×20+5×20,1×20,5×20,As defined in Table 8.2.3.1.1-2 and Table 8.2.3.1.1-3 per CC,"8, ≥11"
2,2×20+4×20,2×20,4×20,As defined in Table 8.2.3.1.1-2 and Table 8.2.3.1.1-3 per CC,"8, ≥11"
