Parameter,,Unit,Value,,
Cyclic prefix,,,,Normal,
Cell ID,,,,0,
Number of HARQ processes,,,Processes,8 (Slot-PDSCH),
Maximum number of HARQ transmission,,,,4,
Redundancy version coding sequence,,,,"{0,1,2,3}",
Number of OFDM symbols for PDCCH,,,OFDM symbols,2,
Uplink downlink configuration (Note 1),,,,1,
Special subframe configuration (Note 2),,,,4,
ACK/NACK feedback mode,,,,Multiplexing,
Note 1:as specified in Table 4.2-2 in TS 36.211 [4]Note 2:as specified in Table 4.2-1 in TS 36.211 [4],,,,,
