Test,Number of bits of a DL-SCH transport block received within a TTI for normal/special sub-frame,Measurement channel,Reference value
,,,TB success rate [%]
1,10296/0,R.31-1 TDD,95
1A,10296/0,R.31-1 TDD,95
1B,10296/0,R.31-1A TDD,95
2,25456/0,R.31-2 TDD,95
3,51024/0,R.31-3 TDD,95
3A,51024/0,R.31-3A TDD,85
4,75376/0 (Note 2),R.31-4 TDD,85
6,75376/0 (Note 2),R.31-4 TDD,85
6A,75376/0 (Note 2),R.31-4 TDD,85
6B,55056/0 for 15MHz CC75376/0 for 20MHz CC (Note 2),R.31-5 TDD for 15MHz CCR.31-4 TDD for 20MHz CC,85
7,75376/0 (Note 2),R.31-4 TDD,85
7A,55056/0 for 15MHz CC75376/0 for 20MHz CC (Note 2),R.31-5 TDD for 15MHz CCR.31-4 TDD for 20MHz CC,85
8,75376/0 (Note 2),R.31-4 TDD,85
9,55056/0 for 15MHz CC75376/0 for 20MHz CC (Note 2),R.31-5 TDD for 15MHz CCR.31-4 TDD for 20MHz CC,85
10,75376/0 (Note 2),R.31-4 TDD,85
11,55056/0 for 15MHz CC75376/0 for 20MHz CC (Note 2),R.31-5 TDD for 15MHz CCR.31-4 TDD for 20MHz CC,85
12,75376/0 (Note 2),R.31-4 TDD,85
13,75376/0 (Note 2),R.31-4 TDD,85
"Note 1:For 2 layer transmissions, 2 transport blocks are received within a TTI.Note 2:71112 bits for sub-frame 5.Note 3:The TB success rate is defined as TB success rate = 100%*NDL_correct_rx/ (NDL_newtx + NDL_retx), where NDL_newtx is the number of newly transmitted DL transport blocks, NDL_retx is the number of retransmitted DL transport blocks, and NDL_correct_rx is the number of correctly received DL transport blocks.",,,
