Parameter,,Unit,Test 1,,Test 2,
Bandwidth,,MHz,10 MHz,,,
Transmission mode,,,1 (port 0),,,
Downlink power allocation,,dB,0,,,
,,dB,0,,,
,,dB,0,,,
Uplink downlink configuration,,,2,,,
Special subframe configuration,,,4,,,
SNR (Note 3),,dB,8,9,13,14
,,dB[mW/15kHz],-90,-89,-85,-84
,,dB[mW/15kHz],-98,,-98,
Propagation channel,,,"Clause B.2.4 with s, a = 1, Hz",,,
Reporting periodicity,,ms,NP = 5,,,
CQI delay,,ms,10 or 11,,,
Physical channel for CQI reporting,,,PUSCH (Note 4),,,
PUCCH Report Type for wideband CQI,,,4,,,
PUCCH Report Type for subband CQI,,,1,,,
Max number of HARQ transmissions,,,1,,,
Subband size (k),,RBs,6 (full size),,,
Number of bandwidth parts (J),,,3,,,
K,,,1,,,
cqi-pmi-ConfigIndex,,,3,,,
ACK/NACK feedback mode,,,Multiplexing,,,
"Note 1:If the UE reports in an available uplink reporting instance at subframe SF#n based on CQI estimation at a downlink subframe not later than SF#(n-4), this reported subband or wideband CQI cannot be applied at the eNB downlink before SF#(n+4).Note 2:Reference measurement channel RC.3 TDD according to Table A.4-1 with one/two sided dynamic OCNG Pattern OP.1/2 TDD as described in Annex A.5.2.1/2.Note 3:For each test, the minimum requirements shall be fulfilled for at least one of the two SNR(s) and the respective wanted signal input level.Note 4:To avoid collisions between CQI reports and HARQ-ACK it is necessary to report both on PUSCH instead of PUCCH. PDCCH DCI format 0 shall be transmitted in downlink SF#3 and #8 to allow periodic CQI to multiplex with the HARQ-ACK on PUSCH in uplink subframe SF#7 and #2.Note 5:CQI reports for the short subband (having 2RBs in the last bandwidth part) are to be disregarded and data scheduling according to the most recent subband CQI report for bandwidth part with j=1.Note 6:In the case where wideband CQI is reported, data is to be scheduled according to the most recently used subband CQI report.",,,,,,
