Parameter,Unit,Value
Uplink downlink configuration (Note 1),,1
Special subframe configuration (Note 2),,4
Cyclic prefix,,Normal
Cell ID,,0
Inter-TTI Distance,,1
Number of HARQ processes,Processes,7
Maximum number of HARQ transmission,,4
Redundancy version coding sequence,,"{0,1,2,3} for QPSK and 16QAM{0,0,1,2} for 64QAM, 256QAM and 1024QAM"
Number of OFDM symbols for PDCCH,OFDM symbols,2
Precoder update granularity,,"Frequency domain: 1 PRB for Transmission mode 8, 1 PRG for Transmission modes 9 and 10Time domain: 1 ms"
ACK/NACK feedback mode,,Multiplexing
Note 1:as specified in Table 4.2-2 in TS 36.211 [4]Note 2:as specified in Table 4.2-1 in TS 36.211 [4],,
